Method: havlak::LoopStructureGraph$1::apply, Block ID: 128, Normal Time: 14.052, Slowdown Time: 25.733, Percentage Increase: 83.12695701679476%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 129, Normal Time: 8.641, Slowdown Time: 6.974, Percentage Increase: -19.29174864020368%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 130, Normal Time: 4.601, Slowdown Time: 9.462, Percentage Increase: 105.65094544664203%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 131, Normal Time: 0.04, Slowdown Time: 0.005, Percentage Increase: -87.50000000000001%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 3, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 132, Normal Time: 0.011, Slowdown Time: 0.013, Percentage Increase: 18.181818181818183%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 4, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 133, Normal Time: 0.026, Slowdown Time: 0.029, Percentage Increase: 11.538461538461549%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 136, Normal Time: 0.013, Slowdown Time: 0.015, Percentage Increase: 15.384615384615385%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 140, Normal Time: 0.005, Slowdown Time: 0.002, Percentage Increase: -60.0%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 141, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 142, Normal Time: 0.0, Slowdown Time: 0.006, Percentage Increase: 0.0%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 146, Normal Time: 0.002, Slowdown Time: 0.003, Percentage Increase: 50.0%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 22, Normal Time: 0.001, Slowdown Time: 0.016, Percentage Increase: 1500.0%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 23, Normal Time: 0.035, Slowdown Time: 0.041, Percentage Increase: 17.14285714285714%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 24, Normal Time: 0.015, Slowdown Time: 0.023, Percentage Increase: 53.333333333333336%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 25, Normal Time: 0.018, Slowdown Time: 0.038, Percentage Increase: 111.11111111111111%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 154, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 107, Normal Time: 0.025, Slowdown Time: 0.042, Percentage Increase: 68.0%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 108, Normal Time: 0.0, Slowdown Time: 0.005, Percentage Increase: 0.0%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 109, Normal Time: 0.413, Slowdown Time: 0.397, Percentage Increase: -3.8740920096852207%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 110, Normal Time: 0.007, Slowdown Time: 0.008, Percentage Increase: 14.285714285714285%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 111, Normal Time: 0.0, Slowdown Time: 0.006, Percentage Increase: 0.0%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 112, Normal Time: 0.022, Slowdown Time: 0.032, Percentage Increase: 45.45454545454547%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 113, Normal Time: 0.007, Slowdown Time: 0.013, Percentage Increase: 85.7142857142857%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 114, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 115, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: havlak::LoopStructureGraph$1::apply, Block ID: 116, Normal Time: 0.024, Slowdown Time: 0.07, Percentage Increase: 191.66666666666669%
