Method: havlak::HavlakLoopFinder::findLoops, Block ID: 3095, Normal Time: 0.082, Slowdown Time: 0.069, Percentage Increase: -15.853658536585364%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 2584, Normal Time: 0.025, Slowdown Time: 0.028, Percentage Increase: 11.999999999999996%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 3096, Normal Time: 0.113, Slowdown Time: 0.19, Percentage Increase: 68.14159292035397%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 2585, Normal Time: 0.002, Slowdown Time: 0.002, Percentage Increase: 0.0%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 3097, Normal Time: 0.109, Slowdown Time: 0.197, Percentage Increase: 80.73394495412845%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 2586, Normal Time: 0.095, Slowdown Time: 0.152, Percentage Increase: 60.0%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 3098, Normal Time: 0.06, Slowdown Time: 0.086, Percentage Increase: 43.33333333333333%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 1050, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 2587, Normal Time: 0.003, Slowdown Time: 0.003, Percentage Increase: 0.0%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 3099, Normal Time: 1.426, Slowdown Time: 2.665, Percentage Increase: 86.88639551192146%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 2588, Normal Time: 0.001, Slowdown Time: 0.008, Percentage Increase: 700.0%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 3100, Normal Time: 1.97, Slowdown Time: 2.602, Percentage Increase: 32.08121827411167%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 3101, Normal Time: 0.092, Slowdown Time: 0.762, Percentage Increase: 728.2608695652175%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 3102, Normal Time: 0.006, Slowdown Time: 0.029, Percentage Increase: 383.3333333333333%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 3103, Normal Time: 0.134, Slowdown Time: 0.214, Percentage Increase: 59.70149253731341%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 2592, Normal Time: 0.004, Slowdown Time: 0.009, Percentage Increase: 124.99999999999997%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 3104, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 3108, Normal Time: 0.246, Slowdown Time: 0.188, Percentage Increase: -23.57723577235772%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 2597, Normal Time: 0.028, Slowdown Time: 0.022, Percentage Increase: -21.428571428571434%
Method: havlak::HavlakLoopFinder::findLoops, Block ID: 2598, Normal Time: 0.022, Slowdown Time: 0.03, Percentage Increase: 36.36363636363637%
