FileName,SlowdownSpeed,Iteration,Benchmark,IsSlowdown,Method1,Percent1,Method2,Percent2,Method3,Percent3,Method4,Percent4,Method5,Percent5
100_1_Bounce_NoSlowdown.xml,100,1,Bounce,NoSlowdown,"Bounce.benchmark",93.1,"java.util.Arrays.setAll",6.8,"Benchmark.innerBenchmarkLoop",0.1,"java.io.PrintStream.println",0.0,"Run.printResult",0.0
100_1_Bounce_Slowdown.xml,100,1,Bounce,Slowdown,"Bounce.benchmark",94.3,"java.util.Arrays.setAll",5.6,"Benchmark.innerBenchmarkLoop",0.0,"Run.printResult",0.0,"Run.runBenchmark",0.0
100_1_CD_NoSlowdown.xml,100,1,CD,NoSlowdown,"cd.RedBlackTree.treeInsert",19.5,"cd.Vector2D.compareTo",18.4,"cd.CollisionDetector.recurse",16.8,"cd.RedBlackTree.put",11.2,"cd.RedBlackTree.findNode",6.0
100_1_CD_Slowdown.xml,100,1,CD,Slowdown,"cd.CollisionDetector.recurse",19.3,"cd.RedBlackTree.treeInsert",18.9,"cd.Vector2D.compareTo",17.4,"cd.RedBlackTree.put",12.8,"cd.RedBlackTree.findNode",7.4
100_1_DeltaBlue_NoSlowdown.xml,100,1,DeltaBlue,NoSlowdown,"java.util.Vector$Itr.next",59.3,"deltablue.Plan.execute",8.8,"som.Vector.forEach",6.4,"deltablue.EqualityConstraint.execute",4.8,"deltablue.Planner.addPropagate",2.4
100_1_DeltaBlue_Slowdown.xml,100,1,DeltaBlue,Slowdown,"java.util.Vector$Itr.next",62.8,"deltablue.Plan.execute",9.0,"deltablue.EqualityConstraint.execute",8.3,"som.Vector.forEach",5.1,"deltablue.Planner.addPropagate",1.7
100_1_Havlak_NoSlowdown.xml,100,1,Havlak,NoSlowdown,"som.Vector.hasSome",30.9,"som.Vector.forEach",13.2,"som.Vector.append",12.3,"havlak.HavlakLoopFinder.findLoops",7.1,"havlak.SimpleLoop.setParent",6.6
100_1_Havlak_Slowdown.xml,100,1,Havlak,Slowdown,"som.Vector.hasSome",27.3,"som.Vector.append",20.7,"som.Vector.forEach",18.1,"havlak.HavlakLoopFinder.findLoops",6.9,"havlak.HavlakLoopFinder.stepD",4.2
100_1_Json_NoSlowdown.xml,100,1,Json,NoSlowdown,"json.JsonPureStringParser.read",24.5,"json.JsonPureStringParser.readStringInternal",12.2,"json.JsonPureStringParser.isWhiteSpace",11.7,"json.JsonPureStringParser.isDigit",7.0,"java.lang.StringBuilder.append",5.5
100_1_Json_Slowdown.xml,100,1,Json,Slowdown,"json.JsonPureStringParser.read",25.2,"json.JsonPureStringParser.isWhiteSpace",13.6,"json.JsonPureStringParser.readStringInternal",12.4,"json.JsonPureStringParser.isDigit",6.8,"java.lang.StringBuilder.append",6.1
