FileName,SlowdownSpeed,Iteration,Benchmark,IsSlowdown,Method1,Count1,Method2,Count2,Method3,Count3,Method4,Count4,Method5,Count5
100_10_Queens_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Queens,Slowdown,"Queens.getRowColumn",59.65,"Queens.placeQueen",22.59,"Queens.setRowColumn",16.28,"Queens.queens",0.92,"java.util.Arrays.fill",0.45
100_10_Richards_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Richards,NoSlowdown,"richards.TaskControlBlock.runTask",20.45,"richards.Scheduler.schedule",18.77,"richards.TaskState.isTaskHoldingOrWaiting",8.76,"richards.Scheduler$HandlerProcessFunction.apply",8.68,"richards.Scheduler$DeviceProcessFunction.apply",4.91
100_10_Richards_Slowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,10,Richards,Slowdown,"richards.Scheduler.schedule",22.61,"richards.TaskControlBlock.runTask",19.85,"richards.Scheduler$HandlerProcessFunction.apply",9.70,"richards.TaskState.isTaskHoldingOrWaiting",7.17,"richards.Scheduler$DeviceProcessFunction.apply",5.86
100_10_Sieve_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Sieve,NoSlowdown,"Sieve.sieve",90.31,"java.util.Arrays.fill",8.59,"Sieve.benchmark",0.93,"java.lang.Math.max",0.07,"Benchmark.innerBenchmarkLoop",0.06
100_10_Sieve_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Sieve,Slowdown,"Sieve.sieve",90.00,"java.util.Arrays.fill",8.99,"Sieve.benchmark",0.89,"java.util.WeakHashMap.hash",0.03,"com.yourkit.probes.Table.createRow",0.02
100_10_Storage_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Storage,NoSlowdown,"Storage.buildTreeDepth",56.16,"som.Arrays.setAll",29.73,"Storage.lambda$buildTreeDepth$0",5.11,"jdk.internal.misc.Unsafe.allocateInstance",3.97,"som.Random.next",2.37
100_10_Storage_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Storage,Slowdown,"Storage.buildTreeDepth",58.51,"som.Arrays.setAll",27.26,"som.Random.next",3.89,"jdk.internal.misc.Unsafe.allocateInstance",3.86,"Storage$$Lambda.apply",3.79
100_10_Towers_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Towers,NoSlowdown,"Towers.popDiskFrom",32.04,"Towers.pushDisk",19.02,"Towers$TowersDisk.setNext",18.46,"Towers.moveDisks",18.35,"Towers.moveTopDisk",9.52
100_10_Towers_Slowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,10,Towers,Slowdown,"Towers.popDiskFrom",33.72,"Towers$TowersDisk.setNext",18.68,"Towers.pushDisk",18.00,"Towers.moveDisks",17.87,"Towers.moveTopDisk",9.82
100_1_Bounce_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,1,Bounce,NoSlowdown,"Bounce$Ball.bounce",66.48,"Bounce.benchmark",23.01,"Bounce$Ball.<init>",3.82,"java.lang.Math.abs",3.81,"java.util.Arrays.setAll",1.09
100_1_Bounce_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,1,Bounce,Slowdown,"Bounce$Ball.bounce",58.55,"Bounce.benchmark",30.92,"java.lang.Math.abs",3.60,"Bounce$Ball.<init>",2.85,"som.Random.next",1.56
