FileName,SlowdownSpeed,Iteration,Benchmark,IsSlowdown,Method1,Count1,Method2,Count2,Method3,Count3,Method4,Count4,Method5,Count5
100_10_Mandelbrot_NoSlowdown.jfr,100,10,Mandelbrot,NoSlowdown,"Mandelbrot.mandelbrot",99.9966494672653,"java.lang.invoke.InvokerBytecodeGenerator.clinit",0.001675266367352409,"jdk.internal.org.objectweb.asm.SymbolTable.addType",0.001675266367352409,"null",null,"null",null
150_7_Permute_NoSlowdown.jfr,150,7,Permute,NoSlowdown,"Permute.permute",99.94661256740164,"Permute.benchmark",0.029363087929101493,"java.lang.Integer.<init>",0.0026693716299183174,"java.lang.invoke.DirectMethodHandle.internalMemberName",0.0026693716299183174,"java.nio.Buffer.<init>",0.0026693716299183174
50_4_Permute_Slowdown.jfr,50,4,Permute,Slowdown,"Permute.permute",99.92147282087079,"Permute.benchmark",0.05933164645318908,"jdk.internal.org.objectweb.asm.Frame.setInputFrameFromDescriptor",0.0017450484250937964,"jdk.internal.org.objectweb.asm.MethodWriter.endCurrentBasicBlockWithNoSuccessor",0.0017450484250937964,"java.lang.StringConcatHelper.prepend",0.0017450484250937964
50_1_CD_Slowdown.jfr,50,1,CD,Slowdown,"cd.RedBlackTree.treeInsert",21.788184601428732,"cd.CollisionDetector.recurse",18.129890010205237,"cd.Vector2D.compareTo",17.735854405261367,"cd.RedBlackTree.put",11.869259553237328,"cd.RedBlackTree.findNode",7.471085157047284
100_1_Sieve_Slowdown.jfr,100,1,Sieve,Slowdown,"Sieve.sieve",99.97453858588491,"Sieve.benchmark",0.0035527554579205724,"Benchmark.innerBenchmarkLoop",0.002368503638613715,"jdk.jfr.internal.periodic.PeriodicEvents.doPeriodic",0.0017763777289602862,"java.lang.invoke.DirectMethodHandle$Holder.invokeStatic",0.0017763777289602862
100_8_Bounce_Slowdown.jfr,100,8,Bounce,Slowdown,"Bounce.benchmark",93.52869119167018,"java.util.Arrays.setAll",6.450254564942771,"Benchmark.innerBenchmarkLoop",0.015312177008766222,"java.lang.Thread.run",9.570110630478889E-4,"java.lang.invoke.LambdaFormBuffer.startEdit",9.570110630478889E-4
150_6_Mandelbrot_Slowdown.jfr,150,6,Mandelbrot,Slowdown,"Mandelbrot.mandelbrot",99.98878391217143,"jdk.internal.org.objectweb.asm.MethodWriter.computeAllFrames",6.597698722685527E-4,"jdk.jfr.internal.event.EventWriter.putUncheckedLong",6.597698722685527E-4,"java.io.PrintStream.implWrite",6.597698722685527E-4,"java.lang.invoke.InvokerBytecodeGenerator.addMethod",6.597698722685527E-4
50_7_Bounce_NoSlowdown.jfr,50,7,Bounce,NoSlowdown,"Bounce.benchmark",93.35163682815687,"java.util.Arrays.setAll",6.596884592651909,"Benchmark.innerBenchmarkLoop",0.03431905279414288,"java.lang.StringConcatHelper.mix",0.003813228088238098,"java.nio.Buffer.limit",0.001906614044119049
100_2_Towers_Slowdown.jfr,100,2,Towers,Slowdown,"Towers.moveDisks",88.45344632001473,"Towers.moveTopDisk",11.447658014911916,"Towers.benchmark",0.0727174007892262,"Towers.pushDisk",0.007756522750850794,"Benchmark.innerBenchmarkLoop",0.006786957406994445
50_2_Storage_NoSlowdown.jfr,50,2,Storage,NoSlowdown,"Storage.buildTreeDepth",64.44037205864235,"Storage.lambda$buildTreeDepth$0",24.22077122089442,"som.Arrays.setAll",11.033941111247998,"som.Random.next",0.2525563631883701,"Storage.benchmark",0.013859800418873969
