Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+-----------------+-----------+
|                                                                                Method                                                                                 |    Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  100,966   99%  |              0  |   10,240  |
|  Run.runBenchmark()                                                                                                                                                   |  100,966   99%  |          < 0.1  |   10,240  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  100,957   99%  |              0  |   10,239  |
|  Run.measure(Benchmark, int)                                                                                                                                          |  100,957   99%  |              0  |   10,239  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                                       |  100,935   99%  |              0  |   10,237  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                                   |  100,935   99%  |          < 0.1  |   10,237  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                                   |   64,542   64%  |             32  |    6,580  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                                  |   63,977   63%  |          4,832  |    6,523  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                 |   60,658   60%  |          4,502  |    6,130  |
|  som.Set.add(Object)                                                                                                                                                  |   37,751   37%  |            145  |    3,801  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                                    |   36,300   36%  |          < 0.1  |    3,648  |
|  som.Vector.hasSome(TestInterface)                                                                                                                                    |   35,663   35%  |         35,134  |    3,586  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                                              |   35,084   35%  |            129  |    3,529  |
|  som.Set.hasSome(TestInterface)                                                                                                                                       |   35,066   35%  |             59  |    3,526  |
|  havlak.LoopStructureGraph$1.apply(Object)                                                                                                                            |   35,010   35%  |            761  |    3,518  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                                           |   34,954   35%  |             39  |    3,516  |
|  som.IdentitySet.contains(Object)                                                                                                                                     |   34,565   34%  |              0  |    3,475  |
|  havlak.LoopStructureGraph$1.apply(SimpleLoop)                                                                                                                        |   34,248   34%  |             19  |    3,442  |
|  havlak.LoopTesterApp.addDummyLoops(int)                                                                                                                              |   21,609   21%  |              9  |    2,203  |
|  havlak.HavlakLoopFinder.initAllNodes()                                                                                                                               |   17,591   17%  |             19  |    1,785  |
