Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  37,339   99%  |              0  |    3,928  |
|  Run.runBenchmark()                                                                                                                                                   |  37,339   99%  |          < 0.1  |    3,928  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  37,329   99%  |              0  |    3,926  |
|  Run.measure(Benchmark, int)                                                                                                                                          |  37,329   99%  |              0  |    3,926  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                    |  37,300   99%  |              9  |    3,922  |
|  Json.benchmark()                                                                                                                                                     |  37,290   99%  |              0  |    3,921  |
|  json.JsonPureStringParser.parse()                                                                                                                                    |  37,290   99%  |              0  |    3,921  |
|  json.JsonPureStringParser.readObject()                                                                                                                               |  37,290   99%  |             96  |    3,921  |
|  json.JsonPureStringParser.readValue()                                                                                                                                |  37,290   99%  |            690  |    3,921  |
|  json.JsonPureStringParser.readArray()                                                                                                                                |  37,206   99%  |            316  |    3,912  |
|  json.JsonPureStringParser.readStringInternal()                                                                                                                       |  18,908   51%  |            814  |    1,991  |
|  java.lang.String.equals(Object) String.java                                                                                                                          |  17,234   46%  |         17,234  |    1,809  |
|  json.JsonPureStringParser.readString()                                                                                                                               |  12,452   33%  |            108  |    1,312  |
|  json.JsonPureStringParser.read()                                                                                                                                     |  11,864   32%  |          2,587  |    1,246  |
|  json.JsonPureStringParser.readName()                                                                                                                                 |   6,604   18%  |             19  |      695  |
|  java.lang.Character.toString(char) Character.java                                                                                                                    |   6,249   17%  |              0  |      653  |
|  java.lang.String.valueOf(char) String.java                                                                                                                           |   6,249   17%  |          2,588  |      653  |
|  json.JsonPureStringParser.readChar(String)                                                                                                                           |   5,127   14%  |            222  |      529  |
|  json.JsonPureStringParser.readNumber()                                                                                                                               |   4,994   13%  |            164  |      529  |
|  json.JsonPureStringParser.endCapture()                                                                                                                               |   4,484   12%  |            289  |      474  |
|  json.JsonPureStringParser.subStringFromTo(int, int)                                                                                                                  |   4,194   11%  |            794  |      443  |
|  json.JsonPureStringParser.skipWhiteSpace()                                                                                                                           |   4,077   11%  |            118  |      432  |
|  json.JsonPureStringParser.isWhiteSpace()                                                                                                                             |   3,959   11%  |            684  |      420  |
|  java.lang.StringLatin1.toBytes(char) StringLatin1.java                                                                                                               |   3,661   10%  |          3,661  |      382  |
|  json.JsonPureStringParser.readDigit()                                                                                                                                |   3,293    9%  |            328  |      349  |
|  json.JsonPureStringParser.isDigit()                                                                                                                                  |   2,071    6%  |            269  |      222  |
|  json.JsonPureStringParser.readNull()                                                                                                                                 |   1,531    4%  |             60  |      160  |
|  json.JsonPureStringParser.readRequiredChar(String)                                                                                                                   |   1,281    3%  |             28  |      133  |
|  java.lang.AbstractStringBuilder.append(char) AbstractStringBuilder.java                                                                                              |   1,187    3%  |            788  |      128  |
|  java.lang.StringBuilder.append(char) StringBuilder.java                                                                                                              |   1,187    3%  |              0  |      128  |
|  java.lang.StringBuilder.toString() StringBuilder.java                                                                                                                |   1,163    3%  |            786  |      121  |
|  java.lang.String.charAt(int) String.java                                                                                                                             |     875    2%  |          < 0.1  |       91  |
|  som.Vector.append(Object)                                                                                                                                            |     828    2%  |            823  |       88  |
|  java.lang.String.isLatin1() String.java                                                                                                                              |     683    2%  |            683  |       71  |
|  json.JsonArray.add(JsonValue)                                                                                                                                        |     669    2%  |              0  |       71  |
|  java.lang.String.hashCode() String.java                                                                                                                              |     635    2%  |            502  |       67  |
|  som.Vector.<init>(int)                                                                                                                                               |     594    2%  |            594  |       63  |
|  som.Vector.<init>()                                                                                                                                                  |     594    2%  |              0  |       63  |
|  java.lang.AbstractStringBuilder.<init>(int) AbstractStringBuilder.java                                                                                               |     466    1%  |            466  |       48  |
|  java.lang.StringBuilder.<init>(int) StringBuilder.java                                                                                                               |     466    1%  |              0  |       48  |
|  json.JsonArray.<init>()                                                                                                                                              |     438    1%  |             64  |       47  |
|  java.lang.String.<init>(AbstractStringBuilder, Void) String.java                                                                                                     |     376    1%  |          < 0.1  |       40  |
|  java.lang.String.<init>(StringBuilder) String.java                                                                                                                   |     376    1%  |              0  |       40  |
|  json.JsonObject.<init>()                                                                                                                                             |     351    1%  |             54  |       37  |
|  java.lang.AbstractStringBuilder.ensureCapacityInternal(int) AbstractStringBuilder.java                                                                               |     295    1%  |            295  |       31  |
|  java.lang.StringLatin1.charAt(byte[], int) StringLatin1.java                                                                                                         |     282    1%  |            199  |       29  |
|  java.util.Arrays.copyOfRange(byte[], int, int) Arrays.java                                                                                                           |     276    1%  |             10  |       29  |
|  java.lang.Object.clone() Object.java (native)                                                                                                                        |     265    1%  |            265  |       28  |
|  json.JsonPureStringParser.readExponent()                                                                                                                             |     207    1%  |              0  |       21  |
|  json.JsonObject.add(String, JsonValue)                                                                                                                               |     174    0%  |          < 0.1  |       19  |
|  java.lang.AbstractStringBuilder.isLatin1() AbstractStringBuilder.java                                                                                                |     165    0%  |            165  |       20  |
|  java.lang.String.length() String.java                                                                                                                                |     160    0%  |            140  |       16  |
|  json.JsonPureStringParser.readFraction()                                                                                                                             |     138    0%  |              0  |       14  |
|  json.JsonPureStringParser.readTrue()                                                                                                                                 |      88    0%  |          < 0.1  |        9  |
|  json.JsonPureStringParser.startCapture()                                                                                                                             |      87    0%  |             87  |       10  |
|  java.lang.String.checkIndex(int, int) String.java                                                                                                                    |      83    0%  |              0  |        9  |
|  jdk.internal.util.Preconditions.checkIndex(int, int, BiFunction) Preconditions.java                                                                                  |      83    0%  |             83  |        9  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getCompositeData() GarbageCollectionNotifInfoCompositeData.java                                  |      73    0%  |              0  |        5  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.toCompositeData(GarbageCollectionNotificationInfo) GarbageCollectionNotifInfoCompositeData.java  |      73    0%  |              0  |        5  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                          |      73    0%  |              0  |        5  |
|  com.sun.management.internal.GcInfoCompositeData.getCompositeData() GcInfoCompositeData.java                                                                          |      73    0%  |              0  |        5  |
|  com.sun.management.internal.GcInfoCompositeData.toCompositeData(GcInfo) GcInfoCompositeData.java                                                                     |      73    0%  |              0  |        5  |
|  javax.management.openmbean.CompositeDataSupport.<init>(CompositeType, String[], Object[]) CompositeDataSupport.java                                                  |      73    0%  |              0  |        5  |
|  sun.management.MappedMXBeanType$MapMXBeanType.toOpenTypeData(Object) MappedMXBeanType.java                                                                           |      73    0%  |              0  |        5  |
|  javax.management.openmbean.CompositeDataSupport.<init>(SortedMap, CompositeType) CompositeDataSupport.java                                                           |      71    0%  |          < 0.1  |        4  |
|  java.util.Collections$UnmodifiableCollection.iterator() Collections.java                                                                                             |      71    0%  |              0  |        3  |
|  java.util.Collections$UnmodifiableCollection$1.<init>(Collections$UnmodifiableCollection) Collections.java                                                           |      71    0%  |              9  |        3  |
|  json.JsonObject$HashIndexTable.<init>()                                                                                                                              |      67    0%  |             67  |        7  |
|  java.util.TreeMap.keyIterator() TreeMap.java                                                                                                                         |      62    0%  |             36  |        2  |
|  java.util.TreeMap$KeySet.iterator() TreeMap.java                                                                                                                     |      62    0%  |              0  |        2  |
|  java.lang.StringLatin1.hashCode(byte[]) StringLatin1.java                                                                                                            |      43    0%  |             43  |        5  |
|  com.yourkit.probes.builtin.Files.writeOnEnter(FileOutputStream, int) a                                                                                               |      29    0%  |              0  |        3  |
|  com.yourkit.probes.builtin.Files$FileOutputStream_write_arrayRange_Probe.onEnter(FileOutputStream, int) a                                                            |      29    0%  |              0  |        3  |
|  com.yourkit.probes.Table.createRow(int) a                                                                                                                            |      29    0%  |              0  |        3  |
|  com.yourkit.probes.Table.createRow() a                                                                                                                               |      29    0%  |             29  |        3  |
|  java.io.BufferedOutputStream.flush() BufferedOutputStream.java                                                                                                       |      29    0%  |              0  |        4  |
|  java.io.BufferedOutputStream.flushBuffer() BufferedOutputStream.java                                                                                                 |      29    0%  |              0  |        4  |
|  java.io.BufferedOutputStream.implFlush() BufferedOutputStream.java                                                                                                   |      29    0%  |              0  |        4  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                                               |      29    0%  |              0  |        4  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                                     |      29    0%  |              0  |        4  |
|  java.io.PrintStream.implWrite(byte[], int, int) PrintStream.java                                                                                                     |      29    0%  |              0  |        4  |
|  java.io.PrintStream.implWriteln(String) PrintStream.java                                                                                                             |      29    0%  |              0  |        4  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                 |      29    0%  |              0  |        4  |
|  java.io.PrintStream.write(byte[], int, int) PrintStream.java                                                                                                         |      29    0%  |              0  |        4  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                 |      29    0%  |              0  |        4  |
|  Run.printResult(long, int)                                                                                                                                           |      29    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.flushBuffer() StreamEncoder.java                                                                                                            |      29    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.implFlushBuffer() StreamEncoder.java                                                                                                        |      29    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.lockedFlushBuffer() StreamEncoder.java                                                                                                      |      29    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.writeBytes() StreamEncoder.java                                                                                                             |      29    0%  |              0  |        4  |
|  java.util.TreeMap.getFirstEntry() TreeMap.java                                                                                                                       |      25    0%  |             25  |        1  |
|  javax.management.openmbean.CompositeType.isAssignableFrom(OpenType) CompositeType.java                                                                               |      25    0%  |              0  |        1  |
|  javax.management.openmbean.CompositeType.isValue(Object) CompositeType.java                                                                                          |      25    0%  |              0  |        1  |
|  json.JsonPureStringParser.readFalse()                                                                                                                                |      20    0%  |              0  |        2  |
|  java.lang.AbstractStringBuilder.getValue() AbstractStringBuilder.java                                                                                                |      19    0%  |             19  |        2  |
|  java.lang.String.coder() String.java                                                                                                                                 |      19    0%  |             19  |        2  |
|  java.lang.AbstractStringBuilder.length() AbstractStringBuilder.java                                                                                                  |      18    0%  |             18  |        2  |
|  java.lang.StringBuilder.length() StringBuilder.java                                                                                                                  |      18    0%  |              0  |        2  |
|  json.JsonObject$HashIndexTable.add(String, int)                                                                                                                      |      14    0%  |              0  |        2  |
|  json.JsonObject$HashIndexTable.hashSlotFor(String)                                                                                                                   |      14    0%  |              9  |        2  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                                       |       9    0%  |              0  |        2  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                                    |       9    0%  |              0  |        2  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                                |       9    0%  |              0  |        2  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                                    |       9    0%  |              0  |        2  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                                              |       9    0%  |              0  |        2  |
|  java.lang.invoke.LambdaForm$Name.<init>(LambdaForm$NamedFunction, Object[]) LambdaForm.java                                                                          |       9    0%  |              0  |        1  |
|  java.lang.invoke.LambdaForm$NamedFunction.returnType() LambdaForm.java                                                                                               |       9    0%  |              9  |        1  |
|  java.lang.invoke.LambdaFormBuffer.replaceFunctions(List, List, Object[]) LambdaFormBuffer.java                                                                       |       9    0%  |              0  |        1  |
|  java.lang.invoke.LambdaFormEditor.foldArgumentsForm(int, boolean, MethodType, int[]) LambdaFormEditor.java                                                           |       9    0%  |              0  |        1  |
