Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  95,322   99%  |              0  |    9,668  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  95,322   99%  |              0  |    9,668  |
|  Run.measure(Benchmark, int)                                                                                                                                          |  95,322   99%  |              9  |    9,668  |
|  Run.runBenchmark()                                                                                                                                                   |  95,322   99%  |              0  |    9,668  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                                       |  95,278   99%  |              0  |    9,663  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                                   |  95,278   99%  |          < 0.1  |    9,663  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                 |  60,636   64%  |          4,630  |    6,128  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                                   |  58,836   62%  |             19  |    5,996  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                                  |  58,413   61%  |          5,251  |    5,952  |
|  som.Set.add(Object)                                                                                                                                                  |  37,915   40%  |            125  |    3,819  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                                    |  36,305   38%  |              0  |    3,653  |
|  som.Vector.hasSome(TestInterface)                                                                                                                                    |  35,504   37%  |         35,003  |    3,573  |
|  havlak.LoopStructureGraph$1.apply(Object)                                                                                                                            |  35,103   37%  |            742  |    3,532  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                                              |  35,003   37%  |             69  |    3,523  |
|  som.Set.hasSome(TestInterface)                                                                                                                                       |  34,996   37%  |             59  |    3,520  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                                           |  34,933   37%  |             78  |    3,516  |
|  som.IdentitySet.contains(Object)                                                                                                                                     |  34,371   36%  |              0  |    3,456  |
|  havlak.LoopStructureGraph$1.apply(SimpleLoop)                                                                                                                        |  34,361   36%  |             39  |    3,455  |
|  havlak.LoopTesterApp.addDummyLoops(int)                                                                                                                              |  19,402   20%  |             21  |    1,974  |
