Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  95,673   99%  |              0  |    9,701  |
|  Run.runBenchmark()                                                                                                                                                   |  95,673   99%  |              0  |    9,701  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  95,663   99%  |              0  |    9,700  |
|  Run.measure(Benchmark, int)                                                                                                                                          |  95,663   99%  |          < 0.1  |    9,700  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                                       |  95,603   99%  |              0  |    9,694  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                                   |  95,593   99%  |          < 0.1  |    9,693  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                 |  60,761   63%  |          4,511  |    6,151  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                                   |  59,121   62%  |             49  |    6,019  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                                  |  58,694   61%  |          5,472  |    5,978  |
|  som.Set.add(Object)                                                                                                                                                  |  37,856   40%  |             49  |    3,816  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                                    |  36,283   38%  |              0  |    3,654  |
|  som.Vector.hasSome(TestInterface)                                                                                                                                    |  35,810   37%  |         35,370  |    3,609  |
|  som.Set.hasSome(TestInterface)                                                                                                                                       |  35,142   37%  |             74  |    3,540  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                                              |  34,958   37%  |             53  |    3,523  |
|  havlak.LoopStructureGraph$1.apply(Object)                                                                                                                            |  34,934   36%  |            630  |    3,517  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                                           |  34,904   36%  |             58  |    3,516  |
|  som.IdentitySet.contains(Object)                                                                                                                                     |  34,515   36%  |              0  |    3,476  |
|  havlak.LoopStructureGraph$1.apply(SimpleLoop)                                                                                                                        |  34,304   36%  |             19  |    3,453  |
|  havlak.LoopTesterApp.addDummyLoops(int)                                                                                                                              |  19,384   20%  |              9  |    1,964  |
|  som.Vector.<init>(int)                                                                                                                                               |  14,098   15%  |         14,098  |    1,439  |
|  som.Vector.<init>()                                                                                                                                                  |  12,432   13%  |              0  |    1,268  |
|  havlak.HavlakLoopFinder.initAllNodes()                                                                                                                               |  11,185   12%  |              9  |    1,131  |
|  som.Set.forEach(ForEachInterface)                                                                                                                                    |   9,857   10%  |              9  |    1,006  |
|  havlak.HavlakLoopFinder.stepEProcessNonBackPreds(int, Vector, Vector, UnionFindNode)                                                                                 |   8,727    9%  |             84  |      892  |
|  havlak.HavlakLoopFinder.identifyEdges(int)                                                                                                                           |   8,681    9%  |            886  |      881  |
|  havlak.HavlakLoopFinder$$Lambda.0x00000008000c9d78.apply(Object)                                                                                                     |   7,802    8%  |            254  |      796  |
|  havlak.HavlakLoopFinder.processEdges(BasicBlock, int)                                                                                                                |   7,774    8%  |            598  |      789  |
|  havlak.HavlakLoopFinder.doDFS(BasicBlock, int)                                                                                                                       |   7,717    8%  |          2,011  |      781  |
|  havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$1(int, Vector, Vector, Object)                                                                               |   7,548    8%  |          1,473  |      770  |
|  som.Vector.append(Object)                                                                                                                                            |   6,657    7%  |          6,410  |      682  |
|  havlak.HavlakLoopFinder$2.apply(Object)                                                                                                                              |   6,136    6%  |            912  |      626  |
|  havlak.HavlakLoopFinder.stepD(int, Vector)                                                                                                                           |   5,700    6%  |          1,178  |      580  |
|  havlak.HavlakLoopFinder$2.apply(BasicBlock)                                                                                                                          |   5,224    5%  |          1,028  |      535  |
|  havlak.UnionFindNode.findSet()                                                                                                                                       |   4,835    5%  |          1,047  |      491  |
|  havlak.UnionFindNode.initNode(BasicBlock, int)                                                                                                                       |   3,104    3%  |          3,104  |      316  |
|  havlak.HavlakLoopFinder$1.apply(Object)                                                                                                                              |   3,080    3%  |            636  |      311  |
|  som.Dictionary.atPut(Dictionary$CustomHash, Object)                                                                                                                  |   2,963    3%  |            927  |      298  |
|  havlak.HavlakLoopFinder.setLoopAttributes(int, Vector, SimpleLoop)                                                                                                   |   2,913    3%  |             98  |      303  |
|  som.Vector.at(int)                                                                                                                                                   |   2,777    3%  |          2,777  |      282  |
|  som.Dictionary.at(Dictionary$CustomHash)                                                                                                                             |   2,516    3%  |          1,511  |      257  |
|  havlak.HavlakLoopFinder$4.apply(Object)                                                                                                                              |   2,456    3%  |            109  |      254  |
|  havlak.HavlakLoopFinder$1.apply(BasicBlock)                                                                                                                          |   2,444    3%  |             50  |      247  |
|  som.Set.<init>()                                                                                                                                                     |   2,362    2%  |              0  |      242  |
|  som.Set.<init>(int)                                                                                                                                                  |   2,362    2%  |            695  |      242  |
|  havlak.HavlakLoopFinder$4.apply(UnionFindNode)                                                                                                                       |   2,346    2%  |             64  |      243  |
|  havlak.LoopStructureGraph.createNewLoop(BasicBlock, boolean)                                                                                                         |   2,080    2%  |            219  |      214  |
|  havlak.HavlakLoopFinder$5.apply(Object)                                                                                                                              |   1,755    2%  |            319  |      180  |
