Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+-----------------+-----------+
|                                                                                         Method                                                                                          |    Time (ms)    |  Own Time (ms)  |  Samples  |
|  java.lang.Integer.valueOf(int) Integer.java                                                                                                                                            |      726    1%  |            726  |       74  |
|  som.Set.contains(Object)                                                                                                                                                               |      639    1%  |              0  |       66  |
|  havlak.HavlakLoopFinder.isAncestor(int, int)                                                                                                                                           |      587    1%  |            587  |       59  |
|  som.IdentitySet.<init>()                                                                                                                                                               |      570    1%  |              0  |       59  |
|  som.Dictionary.insertBucketEntry(Dictionary$CustomHash, Object, int, Dictionary$Entry)                                                                                                 |      514    1%  |            485  |       52  |
|  som.Dictionary.getBucketIdx(int)                                                                                                                                                       |      470    0%  |            470  |       47  |
|  havlak.HavlakLoopFinder.<init>(ControlFlowGraph, LoopStructureGraph)                                                                                                                   |      451    0%  |            111  |       43  |
|  som.IdentityDictionary$IdEntry.match(int, Object)                                                                                                                                      |      446    0%  |            446  |       45  |
|  som.Dictionary.hash(Dictionary$CustomHash)                                                                                                                                             |      409    0%  |            409  |       42  |
|  havlak.HavlakLoopFinder$$Lambda.0x00000008000cbc00.test(Object)                                                                                                                        |      380    0%  |            380  |       38  |
|  havlak.BasicBlock.getNumPred()                                                                                                                                                         |      379    0%  |              9  |       38  |
|  som.Vector.removeAll()                                                                                                                                                                 |      376    0%  |            376  |       38  |
|  havlak.UnionFindNode.union(UnionFindNode)                                                                                                                                              |      326    0%  |            326  |       33  |
|  som.Set.size()                                                                                                                                                                         |      318    0%  |              0  |       32  |
|  java.util.Arrays.copyOf(Object[], int) Arrays.java                                                                                                                                     |      278    0%  |              0  |       28  |
|  java.util.Arrays.copyOf(Object[], int, Class) Arrays.java                                                                                                                              |      278    0%  |            148  |       28  |
|  som.IdentityDictionary.newEntry(Dictionary$CustomHash, Object, int)                                                                                                                    |      238    0%  |            238  |       25  |
|  som.Dictionary.getBucket(int)                                                                                                                                                          |      230    0%  |            109  |       23  |
|  som.Vector.removeFirst()                                                                                                                                                               |      219    0%  |            219  |       25  |
|  java.lang.System.arraycopy(Object, int, Object, int, int) System.java (native)                                                                                                         |      129    0%  |            129  |       13  |
|  havlak.LoopTesterApp.constructCFG(int, int, int)                                                                                                                                       |      111    0%  |              9  |       12  |
|  havlak.BasicBlock.getOutEdges()                                                                                                                                                        |      110    0%  |            110  |       11  |
|  havlak.BasicBlockEdge.<init>(ControlFlowGraph, int, int)                                                                                                                               |      101    0%  |             18  |       11  |
|  havlak.LoopTesterApp.buildBaseLoop(int)                                                                                                                                                |       91    0%  |          < 0.1  |       10  |
|  som.Dictionary.removeAll()                                                                                                                                                             |       79    0%  |             79  |        8  |
|  havlak.UnionFindNode.getBb()                                                                                                                                                           |       79    0%  |             79  |        8  |
|  som.Set.lambda$contains$1(Object, Object)                                                                                                                                              |       79    0%  |              9  |        8  |
|  som.Set$$Lambda.0x00000008000c94d8.test(Object)                                                                                                                                        |       79    0%  |              0  |        8  |
