----------------------------------------------------------------------------------------------------------
  Benchmark    Executor   Suite                   Extra   Core   Size   Var   #Samples   Mean (ms)  
----------------------------------------------------------------------------------------------------------
  Richards     Runner     Slowdown-100              100      1            1                    500   173  
  Json         Runner     Slowdown-100              100      1            1                    500   132  
  Richards     Runner     Slowdown-100              100      1           10                    500   173  
  Json         Runner     Slowdown-100              100      1           10                    500   132  
  Richards     Runner     Slowdown-100              100      1            2                    500   173  
  Json         Runner     Slowdown-100              100      1            2                    500   132  
  Richards     Runner     Slowdown-100              100      1            3                    500   173  
  Json         Runner     Slowdown-100              100      1            3                    500   132  
  Richards     Runner     Slowdown-100              100      1            4                    500   173  
  Json         Runner     Slowdown-100              100      1            4                    500   132  
  Richards     Runner     Slowdown-100              100      1            5                    500   173  
  Json         Runner     Slowdown-100              100      1            5                    500   132  
  Json         Runner     Slowdown-100              100      1            6                    500   132  
  Richards     Runner     Slowdown-100              100      1            6                    500   173  
  Richards     Runner     Slowdown-100              100      1            7                    500   173  
  Json         Runner     Slowdown-100              100      1            7                    500   132  
  Json         Runner     Slowdown-100              100      1            8                    500   132  
  Richards     Runner     Slowdown-100              100      1            8                    500   173  
  Richards     Runner     Slowdown-100              100      1            9                    500   173  
  Json         Runner     Slowdown-100              100      1            9                    500   132  
  CD           Runner     Slowdown-100             1000      1            1                    500   216  
  CD           Runner     Slowdown-100             1000      1           10                    500   216  
  CD           Runner     Slowdown-100             1000      1            2                    500   217  
  CD           Runner     Slowdown-100             1000      1            3                    500   216  
  CD           Runner     Slowdown-100             1000      1            4                    500   216  
  CD           Runner     Slowdown-100             1000      1            5                    500   216  
  CD           Runner     Slowdown-100             1000      1            6                    500   216  
  CD           Runner     Slowdown-100             1000      1            7                    500   217  
  CD           Runner     Slowdown-100             1000      1            8                    500   216  
  CD           Runner     Slowdown-100             1000      1            9                    500   216  
  Sieve        Runner     Slowdown-100            10000      1            1                    500   362  
  Bounce       Runner     Slowdown-100            10000      1            1                    500   227  
  List         Runner     Slowdown-100            10000      1            1                    500   360  
  Bounce       Runner     Slowdown-100            10000      1           10                    500   227  
  Sieve        Runner     Slowdown-100            10000      1           10                    500   363  
  List         Runner     Slowdown-100            10000      1           10                    500   360  
  List         Runner     Slowdown-100            10000      1            2                    500   360  
  Sieve        Runner     Slowdown-100            10000      1            2                    500   362  
  Bounce       Runner     Slowdown-100            10000      1            2                    500   229  
  List         Runner     Slowdown-100            10000      1            3                    500   360  
  Bounce       Runner     Slowdown-100            10000      1            3                    500   229  
  Sieve        Runner     Slowdown-100            10000      1            3                    500   362  
  Bounce       Runner     Slowdown-100            10000      1            4                    500   228  
  List         Runner     Slowdown-100            10000      1            4                    500   361  
  Sieve        Runner     Slowdown-100            10000      1            4                    500   362  
  List         Runner     Slowdown-100            10000      1            5                    500   360  
  Sieve        Runner     Slowdown-100            10000      1            5                    500   362  
  Bounce       Runner     Slowdown-100            10000      1            5                    500   229  
  Bounce       Runner     Slowdown-100            10000      1            6                    500   228  
  List         Runner     Slowdown-100            10000      1            6                    500   361  
  Sieve        Runner     Slowdown-100            10000      1            6                    500   362  
  Bounce       Runner     Slowdown-100            10000      1            7                    500   228  
  List         Runner     Slowdown-100            10000      1            7                    500   360  
  Sieve        Runner     Slowdown-100            10000      1            7                    500   363  
  List         Runner     Slowdown-100            10000      1            8                    500   360  
  Sieve        Runner     Slowdown-100            10000      1            8                    500   362  
  Bounce       Runner     Slowdown-100            10000      1            8                    500   227  
  Sieve        Runner     Slowdown-100            10000      1            9                    500   363  
  Bounce       Runner     Slowdown-100            10000      1            9                    500   227  
  List         Runner     Slowdown-100            10000      1            9                    500   360  
  NBody        Runner     Slowdown-100          1200000      1            1                    500   217  
  NBody        Runner     Slowdown-100          1200000      1           10                    500   217  
  NBody        Runner     Slowdown-100          1200000      1            2                    500   217  
