------------------------------------------------------------------------------------------------------------
  Benchmark    Executor   Suite                     Extra   Core   Size   Var   #Samples   Mean (ms)  
------------------------------------------------------------------------------------------------------------
  Permute      Runner     NoSlowdown-100             3500      1            8                    500    97  
  Permute      Runner     NoSlowdown-100             3500      1            9                    500    97  
  Queens       Runner     NoSlowdown-100             5000      1            1                    500    71  
  Queens       Runner     NoSlowdown-100             5000      1           10                    500    71  
  Queens       Runner     NoSlowdown-100             5000      1            2                    500    71  
  Queens       Runner     NoSlowdown-100             5000      1            3                    500    71  
  Queens       Runner     NoSlowdown-100             5000      1            4                    500    71  
  Queens       Runner     NoSlowdown-100             5000      1            5                    500    71  
  Queens       Runner     NoSlowdown-100             5000      1            6                    500    71  
  Queens       Runner     NoSlowdown-100             5000      1            7                    500    71  
  Queens       Runner     NoSlowdown-100             5000      1            8                    500    71  
  Queens       Runner     NoSlowdown-100             5000      1            9                    500    71  
  DeltaBlue    Runner     NoSlowdown-100            60000      1            1                    500   222  
  DeltaBlue    Runner     NoSlowdown-100            60000      1           10                    500   224  
  DeltaBlue    Runner     NoSlowdown-100            60000      1            2                    500   224  
  DeltaBlue    Runner     NoSlowdown-100            60000      1            3                    500   222  
  DeltaBlue    Runner     NoSlowdown-100            60000      1            4                    500   224  
  DeltaBlue    Runner     NoSlowdown-100            60000      1            5                    500   224  
  DeltaBlue    Runner     NoSlowdown-100            60000      1            6                    500   224  
  DeltaBlue    Runner     NoSlowdown-100            60000      1            7                    500   224  
  DeltaBlue    Runner     NoSlowdown-100            60000      1            8                    500   223  
  DeltaBlue    Runner     NoSlowdown-100            60000      1            9                    500   223  
  Mandelbrot   Runner     NoSlowdown-100              750      1            1                    500   128  
  Mandelbrot   Runner     NoSlowdown-100              750      1           10                    500   128  
  Mandelbrot   Runner     NoSlowdown-100              750      1            2                    500   128  
  Mandelbrot   Runner     NoSlowdown-100              750      1            3                    500   128  
  Mandelbrot   Runner     NoSlowdown-100              750      1            4                    500   128  
  Mandelbrot   Runner     NoSlowdown-100              750      1            5                    500   128  
  Mandelbrot   Runner     NoSlowdown-100              750      1            6                    500   128  
  Mandelbrot   Runner     NoSlowdown-100              750      1            7                    500   128  
  Mandelbrot   Runner     NoSlowdown-100              750      1            8                    500   128  
  Mandelbrot   Runner     NoSlowdown-100              750      1            9                    500   128  
  Json         Runner     NoSlowdown-150              100      1            1                    500    69  
  Richards     Runner     NoSlowdown-150              100      1            1                    500    83  
  Richards     Runner     NoSlowdown-150              100      1           10                    500    83  
  Json         Runner     NoSlowdown-150              100      1           10                    500    68  
  Json         Runner     NoSlowdown-150              100      1            2                    500    68  
  Richards     Runner     NoSlowdown-150              100      1            2                    500    83  
  Json         Runner     NoSlowdown-150              100      1            3                    500    68  
  Richards     Runner     NoSlowdown-150              100      1            3                    500    83  
  Richards     Runner     NoSlowdown-150              100      1            4                    500    83  
  Json         Runner     NoSlowdown-150              100      1            4                    500    68  
  Json         Runner     NoSlowdown-150              100      1            5                    500    68  
  Richards     Runner     NoSlowdown-150              100      1            5                    500    83  
  Json         Runner     NoSlowdown-150              100      1            6                    500    68  
  Richards     Runner     NoSlowdown-150              100      1            6                    500    83  
  Richards     Runner     NoSlowdown-150              100      1            7                    500    83  
  Json         Runner     NoSlowdown-150              100      1            7                    500    68  
  Json         Runner     NoSlowdown-150              100      1            8                    500    68  
  Richards     Runner     NoSlowdown-150              100      1            8                    500    83  
  Json         Runner     NoSlowdown-150              100      1            9                    500    69  
  Richards     Runner     NoSlowdown-150              100      1            9                    500    83  
  CD           Runner     NoSlowdown-150             1000      1            1                    500   111  
  CD           Runner     NoSlowdown-150             1000      1           10                    500   111  
  CD           Runner     NoSlowdown-150             1000      1            2                    500   111  
  CD           Runner     NoSlowdown-150             1000      1            3                    500   111  
  CD           Runner     NoSlowdown-150             1000      1            4                    500   111  
  CD           Runner     NoSlowdown-150             1000      1            5                    500   111  
  CD           Runner     NoSlowdown-150             1000      1            6                    500   111  
  CD           Runner     NoSlowdown-150             1000      1            7                    500   111  
  CD           Runner     NoSlowdown-150             1000      1            8                    500   111  
  CD           Runner     NoSlowdown-150             1000      1            9                    500   111  
  Bounce       Runner     NoSlowdown-150            10000      1            1                    500   114  
  Sieve        Runner     NoSlowdown-150            10000      1            1                    500   182  
  List         Runner     NoSlowdown-150            10000      1            1                    500   179  
  List         Runner     NoSlowdown-150            10000      1           10                    500   179  
  Bounce       Runner     NoSlowdown-150            10000      1           10                    500   114  
  Sieve        Runner     NoSlowdown-150            10000      1           10                    500   183  
  List         Runner     NoSlowdown-150            10000      1            2                    500   178  
  Bounce       Runner     NoSlowdown-150            10000      1            2                    500   114  
  Sieve        Runner     NoSlowdown-150            10000      1            2                    500   181  
  List         Runner     NoSlowdown-150            10000      1            3                    500   178  
  Bounce       Runner     NoSlowdown-150            10000      1            3                    500   114  
  Sieve        Runner     NoSlowdown-150            10000      1            3                    500   182  
  Sieve        Runner     NoSlowdown-150            10000      1            4                    500   181  
  Bounce       Runner     NoSlowdown-150            10000      1            4                    500   114  
  List         Runner     NoSlowdown-150            10000      1            4                    500   178  
  Bounce       Runner     NoSlowdown-150            10000      1            5                    500   115  
  Sieve        Runner     NoSlowdown-150            10000      1            5                    500   183  
  List         Runner     NoSlowdown-150            10000      1            5                    500   179  
  Bounce       Runner     NoSlowdown-150            10000      1            6                    500   115  
  Sieve        Runner     NoSlowdown-150            10000      1            6                    500   181  
  List         Runner     NoSlowdown-150            10000      1            6                    500   178  
  Sieve        Runner     NoSlowdown-150            10000      1            7                    500   182  
  Bounce       Runner     NoSlowdown-150            10000      1            7                    500   114  
  List         Runner     NoSlowdown-150            10000      1            7                    500   179  
  Sieve        Runner     NoSlowdown-150            10000      1            8                    500   182  
  List         Runner     NoSlowdown-150            10000      1            8                    500   178  
  Bounce       Runner     NoSlowdown-150            10000      1            8                    500   115  
  Sieve        Runner     NoSlowdown-150            10000      1            9                    500   181  
  Bounce       Runner     NoSlowdown-150            10000      1            9                    500   115  
  List         Runner     NoSlowdown-150            10000      1            9                    500   178  
  NBody        Runner     NoSlowdown-150          1200000      1            1                    500   108  
  NBody        Runner     NoSlowdown-150          1200000      1           10                    500   108  
  NBody        Runner     NoSlowdown-150          1200000      1            2                    500   109  
  NBody        Runner     NoSlowdown-150          1200000      1            3                    500   108  
  NBody        Runner     NoSlowdown-150          1200000      1            4                    500   108  
  NBody        Runner     NoSlowdown-150          1200000      1            5                    500   108  
  NBody        Runner     NoSlowdown-150          1200000      1            6                    500   108  
  NBody        Runner     NoSlowdown-150          1200000      1            7                    500   109  
  NBody        Runner     NoSlowdown-150          1200000      1            8                    500   109  
  NBody        Runner     NoSlowdown-150          1200000      1            9                    500   108  
  Storage      Runner     NoSlowdown-150             1800      1            1                    500    97  
  Storage      Runner     NoSlowdown-150             1800      1           10                    500    96  
  Storage      Runner     NoSlowdown-150             1800      1            2                    500    96  
  Storage      Runner     NoSlowdown-150             1800      1            3                    500    96  
  Storage      Runner     NoSlowdown-150             1800      1            4                    500    97  
  Storage      Runner     NoSlowdown-150             1800      1            5                    500    96  
  Storage      Runner     NoSlowdown-150             1800      1            6                    500    96  
  Storage      Runner     NoSlowdown-150             1800      1            7                    500    96  
  Storage      Runner     NoSlowdown-150             1800      1            8                    500   100  
  Storage      Runner     NoSlowdown-150             1800      1            9                    500    97  
  Towers       Runner     NoSlowdown-150             2500      1            1                    500   114  
  Towers       Runner     NoSlowdown-150             2500      1           10                    500   113  
  Towers       Runner     NoSlowdown-150             2500      1            2                    500   114  
  Towers       Runner     NoSlowdown-150             2500      1            3                    500   114  
  Towers       Runner     NoSlowdown-150             2500      1            4                    500   113  
  Towers       Runner     NoSlowdown-150             2500      1            5                    500   114  
  Towers       Runner     NoSlowdown-150             2500      1            6                    500   114  
  Towers       Runner     NoSlowdown-150             2500      1            7                    500   113  
  Towers       Runner     NoSlowdown-150             2500      1            8                    500   114  
  Towers       Runner     NoSlowdown-150             2500      1            9                    500   114  
  Permute      Runner     NoSlowdown-150             3500      1            1                    500    97  
  Permute      Runner     NoSlowdown-150             3500      1           10                    500    97  
  Permute      Runner     NoSlowdown-150             3500      1            2                    500    97  
  Permute      Runner     NoSlowdown-150             3500      1            3                    500    97  
  Permute      Runner     NoSlowdown-150             3500      1            4                    500    97  
  Permute      Runner     NoSlowdown-150             3500      1            5                    500    97  
  Permute      Runner     NoSlowdown-150             3500      1            6                    500    97  
  Permute      Runner     NoSlowdown-150             3500      1            7                    500    97  
  Permute      Runner     NoSlowdown-150             3500      1            8                    500    97  
  Permute      Runner     NoSlowdown-150             3500      1            9                    500    97  
  Queens       Runner     NoSlowdown-150             5000      1            1                    500    71  
  Queens       Runner     NoSlowdown-150             5000      1           10                    500    71  
  Queens       Runner     NoSlowdown-150             5000      1            2                    500    71  
  Queens       Runner     NoSlowdown-150             5000      1            3                    500    71  
  Queens       Runner     NoSlowdown-150             5000      1            4                    500    71  
  Queens       Runner     NoSlowdown-150             5000      1            5                    500    71  
  Queens       Runner     NoSlowdown-150             5000      1            6                    500    71  
  Queens       Runner     NoSlowdown-150             5000      1            7                    500    71  
  Queens       Runner     NoSlowdown-150             5000      1            8                    500    71  
  Queens       Runner     NoSlowdown-150             5000      1            9                    500    71  
  DeltaBlue    Runner     NoSlowdown-150            60000      1            1                    500   224  
  DeltaBlue    Runner     NoSlowdown-150            60000      1           10                    500   224  
  DeltaBlue    Runner     NoSlowdown-150            60000      1            2                    500   223  
  DeltaBlue    Runner     NoSlowdown-150            60000      1            3                    500   224  
  DeltaBlue    Runner     NoSlowdown-150            60000      1            4                    500   224  
  DeltaBlue    Runner     NoSlowdown-150            60000      1            5                    500   223  
  DeltaBlue    Runner     NoSlowdown-150            60000      1            6                    500   224  
  DeltaBlue    Runner     NoSlowdown-150            60000      1            7                    500   224  
  DeltaBlue    Runner     NoSlowdown-150            60000      1            8                    500   222  
  DeltaBlue    Runner     NoSlowdown-150            60000      1            9                    500   223  
  Mandelbrot   Runner     NoSlowdown-150              750      1            1                    500   128  
  Mandelbrot   Runner     NoSlowdown-150              750      1           10                    500   128  
  Mandelbrot   Runner     NoSlowdown-150              750      1            2                    500   128  
  Mandelbrot   Runner     NoSlowdown-150              750      1            3                    500   128  
  Mandelbrot   Runner     NoSlowdown-150              750      1            4                    500   128  
  Mandelbrot   Runner     NoSlowdown-150              750      1            5                    500   128  
  Mandelbrot   Runner     NoSlowdown-150              750      1            6                    500   128  
  Mandelbrot   Runner     NoSlowdown-150              750      1            7                    500   128  
  Mandelbrot   Runner     NoSlowdown-150              750      1            8                    500   128  
  Mandelbrot   Runner     NoSlowdown-150              750      1            9                    500   128  
  Richards     Runner     NoSlowdown-50               100      1            1                    500    83  
  Json         Runner     NoSlowdown-50               100      1            1                    500    69  
  Json         Runner     NoSlowdown-50               100      1           10                    500    68  
  Richards     Runner     NoSlowdown-50               100      1           10                    500    83  
  Richards     Runner     NoSlowdown-50               100      1            2                    500    83  
