Benchmark,Suite,Var,Mean
List,NoSlowdown-150,4,178
Bounce,NoSlowdown-150,5,115
Sieve,NoSlowdown-150,5,183
List,NoSlowdown-150,5,179
Bounce,NoSlowdown-150,6,115
Sieve,NoSlowdown-150,6,181
List,NoSlowdown-150,6,178
Sieve,NoSlowdown-150,7,182
Bounce,NoSlowdown-150,7,114
List,NoSlowdown-150,7,179
Sieve,NoSlowdown-150,8,182
List,NoSlowdown-150,8,178
Bounce,NoSlowdown-150,8,115
Sieve,NoSlowdown-150,9,181
Bounce,NoSlowdown-150,9,115
List,NoSlowdown-150,9,178
NBody,NoSlowdown-150,1,108
NBody,NoSlowdown-150,10,108
NBody,NoSlowdown-150,2,109
NBody,NoSlowdown-150,3,108
NBody,NoSlowdown-150,4,108
NBody,NoSlowdown-150,5,108
NBody,NoSlowdown-150,6,108
NBody,NoSlowdown-150,7,109
NBody,NoSlowdown-150,8,109
NBody,NoSlowdown-150,9,108
Storage,NoSlowdown-150,1,97
Storage,NoSlowdown-150,10,96
Storage,NoSlowdown-150,2,96
Storage,NoSlowdown-150,3,96
Storage,NoSlowdown-150,4,97
Storage,NoSlowdown-150,5,96
Storage,NoSlowdown-150,6,96
Storage,NoSlowdown-150,7,96
Storage,NoSlowdown-150,8,100
Storage,NoSlowdown-150,9,97
Towers,NoSlowdown-150,1,114
Towers,NoSlowdown-150,10,113
Towers,NoSlowdown-150,2,114
Towers,NoSlowdown-150,3,114
Towers,NoSlowdown-150,4,113
Towers,NoSlowdown-150,5,114
Towers,NoSlowdown-150,6,114
Towers,NoSlowdown-150,7,113
Towers,NoSlowdown-150,8,114
Towers,NoSlowdown-150,9,114
Permute,NoSlowdown-150,1,97
Permute,NoSlowdown-150,10,97
Permute,NoSlowdown-150,2,97
Permute,NoSlowdown-150,3,97
Permute,NoSlowdown-150,4,97
Permute,NoSlowdown-150,5,97
Permute,NoSlowdown-150,6,97
Permute,NoSlowdown-150,7,97
Permute,NoSlowdown-150,8,97
Permute,NoSlowdown-150,9,97
Queens,NoSlowdown-150,1,71
Queens,NoSlowdown-150,10,71
Queens,NoSlowdown-150,2,71
Queens,NoSlowdown-150,3,71
Queens,NoSlowdown-150,4,71
Queens,NoSlowdown-150,5,71
Queens,NoSlowdown-150,6,71
Queens,NoSlowdown-150,7,71
Queens,NoSlowdown-150,8,71
Queens,NoSlowdown-150,9,71
DeltaBlue,NoSlowdown-150,1,224
DeltaBlue,NoSlowdown-150,10,224
DeltaBlue,NoSlowdown-150,2,223
DeltaBlue,NoSlowdown-150,3,224
DeltaBlue,NoSlowdown-150,4,224
DeltaBlue,NoSlowdown-150,5,223
DeltaBlue,NoSlowdown-150,6,224
DeltaBlue,NoSlowdown-150,7,224
DeltaBlue,NoSlowdown-150,8,222
DeltaBlue,NoSlowdown-150,9,223
Mandelbrot,NoSlowdown-150,1,128
Mandelbrot,NoSlowdown-150,10,128
Mandelbrot,NoSlowdown-150,2,128
Mandelbrot,NoSlowdown-150,3,128
Mandelbrot,NoSlowdown-150,4,128
Mandelbrot,NoSlowdown-150,5,128
Mandelbrot,NoSlowdown-150,6,128
Mandelbrot,NoSlowdown-150,7,128
Mandelbrot,NoSlowdown-150,8,128
Mandelbrot,NoSlowdown-150,9,128
Richards,NoSlowdown-50,1,83
Json,NoSlowdown-50,1,69
Json,NoSlowdown-50,10,68
Richards,NoSlowdown-50,10,83
Richards,NoSlowdown-50,2,83
Json,NoSlowdown-50,2,68
Json,NoSlowdown-50,3,68
Richards,NoSlowdown-50,3,83
Richards,NoSlowdown-50,4,82
Json,NoSlowdown-50,4,68
Richards,NoSlowdown-50,5,83
Json,NoSlowdown-50,5,68
Richards,NoSlowdown-50,6,82
Json,NoSlowdown-50,6,68
Json,NoSlowdown-50,7,68
Richards,NoSlowdown-50,7,82
Json,NoSlowdown-50,8,68
Richards,NoSlowdown-50,8,82
Json,NoSlowdown-50,9,68
Richards,NoSlowdown-50,9,83
CD,NoSlowdown-50,1,111
CD,NoSlowdown-50,10,111
CD,NoSlowdown-50,2,111
CD,NoSlowdown-50,3,111
CD,NoSlowdown-50,4,111
CD,NoSlowdown-50,5,111
CD,NoSlowdown-50,6,111
CD,NoSlowdown-50,7,111
CD,NoSlowdown-50,8,111
CD,NoSlowdown-50,9,111
Bounce,NoSlowdown-50,1,115
List,NoSlowdown-50,1,177
Sieve,NoSlowdown-50,1,181
Bounce,NoSlowdown-50,10,114
List,NoSlowdown-50,10,178
Sieve,NoSlowdown-50,10,181
Sieve,NoSlowdown-50,2,181
List,NoSlowdown-50,2,179
Bounce,NoSlowdown-50,2,115
List,NoSlowdown-50,3,178
Sieve,NoSlowdown-50,3,181
Bounce,NoSlowdown-50,3,114
Sieve,NoSlowdown-50,4,181
Bounce,NoSlowdown-50,4,115
List,NoSlowdown-50,4,178
Bounce,NoSlowdown-50,5,115
List,NoSlowdown-50,5,178
Sieve,NoSlowdown-50,5,181
Sieve,NoSlowdown-50,6,181
List,NoSlowdown-50,6,178
Bounce,NoSlowdown-50,6,115
Bounce,NoSlowdown-50,7,115
Sieve,NoSlowdown-50,7,181
List,NoSlowdown-50,7,178
List,NoSlowdown-50,8,178
Bounce,NoSlowdown-50,8,114
Sieve,NoSlowdown-50,8,182
List,NoSlowdown-50,9,178
Bounce,NoSlowdown-50,9,115
Sieve,NoSlowdown-50,9,181
NBody,NoSlowdown-50,1,108
NBody,NoSlowdown-50,10,108
NBody,NoSlowdown-50,2,109
NBody,NoSlowdown-50,3,108
NBody,NoSlowdown-50,4,108
NBody,NoSlowdown-50,5,108
NBody,NoSlowdown-50,6,108
NBody,NoSlowdown-50,7,109
NBody,NoSlowdown-50,8,108
NBody,NoSlowdown-50,9,108
Storage,NoSlowdown-50,1,151
Storage,NoSlowdown-50,10,151
Storage,NoSlowdown-50,2,151
Storage,NoSlowdown-50,3,151
Storage,NoSlowdown-50,4,151
Storage,NoSlowdown-50,5,150
Storage,NoSlowdown-50,6,151
Storage,NoSlowdown-50,7,151
Storage,NoSlowdown-50,8,150
Storage,NoSlowdown-50,9,151
Towers,NoSlowdown-50,1,113
Towers,NoSlowdown-50,10,113
Towers,NoSlowdown-50,2,113
Towers,NoSlowdown-50,3,114
Towers,NoSlowdown-50,4,114
Towers,NoSlowdown-50,5,114
Towers,NoSlowdown-50,6,113
Towers,NoSlowdown-50,7,114
Towers,NoSlowdown-50,8,113
Towers,NoSlowdown-50,9,114
Permute,NoSlowdown-50,1,97
Permute,NoSlowdown-50,10,97
Permute,NoSlowdown-50,2,97
Permute,NoSlowdown-50,3,97
Permute,NoSlowdown-50,4,97
Permute,NoSlowdown-50,5,97
Permute,NoSlowdown-50,6,97
Permute,NoSlowdown-50,7,97
Permute,NoSlowdown-50,8,97
Permute,NoSlowdown-50,9,97
Queens,NoSlowdown-50,1,71
Queens,NoSlowdown-50,10,71
Queens,NoSlowdown-50,2,71
Queens,NoSlowdown-50,3,71
Queens,NoSlowdown-50,4,71
Queens,NoSlowdown-50,5,71
Queens,NoSlowdown-50,6,71
Queens,NoSlowdown-50,7,71
Queens,NoSlowdown-50,8,71
Queens,NoSlowdown-50,9,71
DeltaBlue,NoSlowdown-50,1,224
DeltaBlue,NoSlowdown-50,10,223
DeltaBlue,NoSlowdown-50,2,224
DeltaBlue,NoSlowdown-50,3,221
DeltaBlue,NoSlowdown-50,4,224
DeltaBlue,NoSlowdown-50,5,224
DeltaBlue,NoSlowdown-50,6,223
DeltaBlue,NoSlowdown-50,7,224
DeltaBlue,NoSlowdown-50,8,224
DeltaBlue,NoSlowdown-50,9,226
Mandelbrot,NoSlowdown-50,1,128
Mandelbrot,NoSlowdown-50,10,128
Mandelbrot,NoSlowdown-50,2,128
Mandelbrot,NoSlowdown-50,3,128
Mandelbrot,NoSlowdown-50,4,128
Mandelbrot,NoSlowdown-50,5,128
Mandelbrot,NoSlowdown-50,6,128
Mandelbrot,NoSlowdown-50,7,128
Mandelbrot,NoSlowdown-50,8,128
Mandelbrot,NoSlowdown-50,9,128
Havlak,NoSlowdown-100,1,204
Havlak,NoSlowdown-100,10,205
Havlak,NoSlowdown-100,2,204
Havlak,NoSlowdown-100,3,204
Havlak,NoSlowdown-100,4,204
Havlak,NoSlowdown-100,5,204
Havlak,NoSlowdown-100,6,204
Havlak,NoSlowdown-100,7,204
Havlak,NoSlowdown-100,8,204
Havlak,NoSlowdown-100,9,206
Havlak,NoSlowdown-150,1,204
Havlak,NoSlowdown-150,10,205
Havlak,NoSlowdown-150,2,204
Havlak,NoSlowdown-150,3,204
Havlak,NoSlowdown-150,4,205
Havlak,NoSlowdown-150,5,205
Havlak,NoSlowdown-150,6,203
Havlak,NoSlowdown-150,7,204
Havlak,NoSlowdown-150,8,203
Havlak,NoSlowdown-150,9,203
Havlak,NoSlowdown-50,1,203
Havlak,NoSlowdown-50,10,202
Havlak,NoSlowdown-50,2,203
Havlak,NoSlowdown-50,3,202
Havlak,NoSlowdown-50,4,203
Havlak,NoSlowdown-50,5,202
Havlak,NoSlowdown-50,6,203
Havlak,NoSlowdown-50,7,204
Havlak,NoSlowdown-50,8,204
Havlak,NoSlowdown-50,9,203
Richards,Slowdown-100,1,173
Json,Slowdown-100,1,132
Richards,Slowdown-100,10,173
Json,Slowdown-100,10,132
Richards,Slowdown-100,2,173
Json,Slowdown-100,2,132
Richards,Slowdown-100,3,173
Json,Slowdown-100,3,132
Richards,Slowdown-100,4,173
Json,Slowdown-100,4,132
Richards,Slowdown-100,5,173
Json,Slowdown-100,5,132
Json,Slowdown-100,6,132
Richards,Slowdown-100,6,173
Richards,Slowdown-100,7,173
Json,Slowdown-100,7,132
Json,Slowdown-100,8,132
Richards,Slowdown-100,8,173
Richards,Slowdown-100,9,173
Json,Slowdown-100,9,132
CD,Slowdown-100,1,216
CD,Slowdown-100,10,216
CD,Slowdown-100,2,217
CD,Slowdown-100,3,216
CD,Slowdown-100,4,216
CD,Slowdown-100,5,216
CD,Slowdown-100,6,216
CD,Slowdown-100,7,217
CD,Slowdown-100,8,216
CD,Slowdown-100,9,216
Sieve,Slowdown-100,1,362
Bounce,Slowdown-100,1,227
List,Slowdown-100,1,360
Bounce,Slowdown-100,10,227
Sieve,Slowdown-100,10,363
List,Slowdown-100,10,360
List,Slowdown-100,2,360
Sieve,Slowdown-100,2,362
Bounce,Slowdown-100,2,229
List,Slowdown-100,3,360
Bounce,Slowdown-100,3,229
Sieve,Slowdown-100,3,362
Bounce,Slowdown-100,4,228
List,Slowdown-100,4,361
Sieve,Slowdown-100,4,362
List,Slowdown-100,5,360
Sieve,Slowdown-100,5,362
Bounce,Slowdown-100,5,229
Bounce,Slowdown-100,6,228
List,Slowdown-100,6,361
Sieve,Slowdown-100,6,362
Bounce,Slowdown-100,7,228
List,Slowdown-100,7,360
Sieve,Slowdown-100,7,363
List,Slowdown-100,8,360
Sieve,Slowdown-100,8,362
Bounce,Slowdown-100,8,227
Sieve,Slowdown-100,9,363
Bounce,Slowdown-100,9,227
List,Slowdown-100,9,360
NBody,Slowdown-100,1,217
NBody,Slowdown-100,10,217
NBody,Slowdown-100,2,217
NBody,Slowdown-100,3,216
NBody,Slowdown-100,4,216
NBody,Slowdown-100,5,216
NBody,Slowdown-100,6,216
NBody,Slowdown-100,7,216
NBody,Slowdown-100,8,217
NBody,Slowdown-100,9,216
Storage,Slowdown-100,1,304
Storage,Slowdown-100,10,304
Storage,Slowdown-100,2,304
Storage,Slowdown-100,3,304
Storage,Slowdown-100,4,304
Storage,Slowdown-100,5,304
Storage,Slowdown-100,6,304
Storage,Slowdown-100,7,304
Storage,Slowdown-100,8,304
Storage,Slowdown-100,9,304
Towers,Slowdown-100,1,233
Towers,Slowdown-100,10,233
Towers,Slowdown-100,2,233
Towers,Slowdown-100,3,233
Towers,Slowdown-100,4,233
Towers,Slowdown-100,5,233
Towers,Slowdown-100,6,233
Towers,Slowdown-100,7,233
Towers,Slowdown-100,8,233
Towers,Slowdown-100,9,233
Permute,Slowdown-100,1,192
Permute,Slowdown-100,10,192
Permute,Slowdown-100,2,192
Permute,Slowdown-100,3,192
Permute,Slowdown-100,4,192
Permute,Slowdown-100,5,192
Permute,Slowdown-100,6,192
Permute,Slowdown-100,7,192
Permute,Slowdown-100,8,192
Permute,Slowdown-100,9,192
Queens,Slowdown-100,1,136
Queens,Slowdown-100,10,136
Queens,Slowdown-100,2,136
Queens,Slowdown-100,3,136
Queens,Slowdown-100,4,136
Queens,Slowdown-100,5,137
Queens,Slowdown-100,6,136
Queens,Slowdown-100,7,136
Queens,Slowdown-100,8,136
Queens,Slowdown-100,9,136
DeltaBlue,Slowdown-100,1,395
DeltaBlue,Slowdown-100,10,398
DeltaBlue,Slowdown-100,2,396
