Benchmark,Suite,Var,Mean
DeltaBlue,NoSlowdown-100,1,214
DeltaBlue,NoSlowdown-100,10,215
DeltaBlue,NoSlowdown-100,2,217
DeltaBlue,NoSlowdown-100,3,216
DeltaBlue,NoSlowdown-100,4,214
DeltaBlue,NoSlowdown-100,5,214
DeltaBlue,NoSlowdown-100,6,216
DeltaBlue,NoSlowdown-100,7,213
DeltaBlue,NoSlowdown-100,8,214
DeltaBlue,NoSlowdown-100,9,213
DeltaBlue,NoSlowdown-150,1,217
DeltaBlue,NoSlowdown-150,10,215
DeltaBlue,NoSlowdown-150,2,214
DeltaBlue,NoSlowdown-150,3,215
DeltaBlue,NoSlowdown-150,4,215
DeltaBlue,NoSlowdown-150,5,215
DeltaBlue,NoSlowdown-150,6,216
DeltaBlue,NoSlowdown-150,7,213
DeltaBlue,NoSlowdown-150,8,215
DeltaBlue,NoSlowdown-150,9,214
DeltaBlue,NoSlowdown-50,1,214
DeltaBlue,NoSlowdown-50,10,214
DeltaBlue,NoSlowdown-50,2,214
DeltaBlue,NoSlowdown-50,3,213
DeltaBlue,NoSlowdown-50,4,215
DeltaBlue,NoSlowdown-50,5,213
DeltaBlue,NoSlowdown-50,6,217
DeltaBlue,NoSlowdown-50,7,215
DeltaBlue,NoSlowdown-50,8,214
DeltaBlue,NoSlowdown-50,9,213
DeltaBlue,Slowdown-100,1,407
DeltaBlue,Slowdown-100,10,407
DeltaBlue,Slowdown-100,2,408
DeltaBlue,Slowdown-100,3,407
DeltaBlue,Slowdown-100,4,407
DeltaBlue,Slowdown-100,5,407
DeltaBlue,Slowdown-100,6,407
DeltaBlue,Slowdown-100,7,409
DeltaBlue,Slowdown-100,8,407
DeltaBlue,Slowdown-100,9,409
DeltaBlue,Slowdown-150,1,515
DeltaBlue,Slowdown-150,10,516
DeltaBlue,Slowdown-150,2,514
DeltaBlue,Slowdown-150,3,514
DeltaBlue,Slowdown-150,4,515
DeltaBlue,Slowdown-150,5,518
DeltaBlue,Slowdown-150,6,518
DeltaBlue,Slowdown-150,7,515
DeltaBlue,Slowdown-150,8,518
DeltaBlue,Slowdown-150,9,516
DeltaBlue,Slowdown-50,1,324
DeltaBlue,Slowdown-50,10,323
DeltaBlue,Slowdown-50,2,321
DeltaBlue,Slowdown-50,3,323
DeltaBlue,Slowdown-50,4,326
DeltaBlue,Slowdown-50,5,322
DeltaBlue,Slowdown-50,6,325
DeltaBlue,Slowdown-50,7,323
DeltaBlue,Slowdown-50,8,321
DeltaBlue,Slowdown-50,9,322
