FileName,TargetBlock,Iteration,Benchmark,IsSlowdown,Method1,Percent1,Method2,Percent2,Method3,Percent3,Method4,Percent4,Method5,Percent5
1_10_Havlak_Slowdown.xml,100,10,Havlak,Slowdown,"som.Vector.forEach",58.9,"som.Vector.append",12.3,"havlak.HavlakLoopFinder.findLoops",8.5,"havlak.HavlakLoopFinder.doDFS",7.7,"java.util.Arrays.copyOf",3.8
1_10_Json_Slowdown.xml,100,10,Json,Slowdown,"json.JsonPureStringParser.read",33.6,"json.JsonPureStringParser.skipWhiteSpace",16.6,"json.JsonPureStringParser.endCapture",14.7,"json.JsonPureStringParser.readDigit",11.9,"json.JsonPureStringParser.readChar",8.4
1_10_List_Slowdown.xml,100,10,List,Slowdown,"List.isShorterThan",88.6,"List.tail",10.6,"List.makeList",0.4,"List.benchmark",0.2,"List$Element.length",0.1
1_10_Richards_Slowdown.xml,100,10,Richards,Slowdown,"richards.TaskControlBlock.runTask",85.1,"richards.Scheduler.schedule",13.5,"richards.RBObject.append",0.4,"java.io.PrintStream.println",0.2,"Run.reportBenchmark",0.1
1_1_Havlak_Slowdown.xml,100,1,Havlak,Slowdown,"som.Vector.forEach",59.2,"som.Vector.append",12.2,"havlak.HavlakLoopFinder.findLoops",8.2,"havlak.HavlakLoopFinder.doDFS",7.7,"java.util.Arrays.copyOf",4.2
1_1_Json_Slowdown.xml,100,1,Json,Slowdown,"json.JsonPureStringParser.read",31.9,"json.JsonPureStringParser.skipWhiteSpace",17.3,"json.JsonPureStringParser.endCapture",15.1,"json.JsonPureStringParser.readDigit",12.4,"json.JsonPureStringParser.readValue",7.9
1_1_List_Slowdown.xml,100,1,List,Slowdown,"List.isShorterThan",88.5,"List.tail",10.5,"List.makeList",0.5,"List.benchmark",0.3,"List$Element.length",0.1
1_1_Richards_Slowdown.xml,100,1,Richards,Slowdown,"richards.TaskControlBlock.runTask",85.4,"richards.Scheduler.schedule",13.4,"richards.RBObject.append",0.3,"Benchmark.innerBenchmarkLoop",0.1,"java.io.PrintStream.println",0.1
1_2_Havlak_Slowdown.xml,100,2,Havlak,Slowdown,"som.Vector.forEach",59.7,"som.Vector.append",12.4,"havlak.HavlakLoopFinder.findLoops",8.0,"havlak.HavlakLoopFinder.doDFS",7.5,"java.util.Arrays.copyOf",3.8
1_2_Json_Slowdown.xml,100,2,Json,Slowdown,"json.JsonPureStringParser.read",30.8,"json.JsonPureStringParser.skipWhiteSpace",16.9,"json.JsonPureStringParser.endCapture",15.4,"json.JsonPureStringParser.readDigit",13.5,"json.JsonPureStringParser.readChar",8.3
1_2_List_Slowdown.xml,100,2,List,Slowdown,"List.isShorterThan",88.8,"List.tail",10.3,"List.benchmark",0.4,"List.makeList",0.3,"List$Element.length",0.1
1_2_Richards_Slowdown.xml,100,2,Richards,Slowdown,"richards.TaskControlBlock.runTask",84.5,"richards.Scheduler.schedule",14.4,"richards.RBObject.append",0.2,"java.io.PrintStream.println",0.1,"richards.Scheduler.start",0.1
1_3_Havlak_Slowdown.xml,100,3,Havlak,Slowdown,"som.Vector.forEach",58.1,"som.Vector.append",12.4,"havlak.HavlakLoopFinder.findLoops",8.8,"havlak.HavlakLoopFinder.doDFS",8.0,"java.util.Arrays.copyOf",4.1
1_3_Json_Slowdown.xml,100,3,Json,Slowdown,"json.JsonPureStringParser.read",32.5,"json.JsonPureStringParser.endCapture",16.5,"json.JsonPureStringParser.skipWhiteSpace",16.4,"json.JsonPureStringParser.readDigit",12.1,"json.JsonPureStringParser.readValue",8.0
1_3_List_Slowdown.xml,100,3,List,Slowdown,"List.isShorterThan",87.8,"List.tail",11.0,"List.makeList",0.5,"List.benchmark",0.3,"List$Element.length",0.2
1_3_Richards_Slowdown.xml,100,3,Richards,Slowdown,"richards.TaskControlBlock.runTask",84.7,"richards.Scheduler.schedule",13.9,"richards.RBObject.append",0.4,"java.io.PrintStream.println",0.2,"richards.Scheduler.start",0.1
1_4_Havlak_Slowdown.xml,100,4,Havlak,Slowdown,"som.Vector.forEach",58.5,"som.Vector.append",12.5,"havlak.HavlakLoopFinder.findLoops",8.7,"havlak.HavlakLoopFinder.doDFS",8.0,"java.util.Arrays.copyOf",3.9
1_4_Json_Slowdown.xml,100,4,Json,Slowdown,"json.JsonPureStringParser.read",33.2,"json.JsonPureStringParser.skipWhiteSpace",16.5,"json.JsonPureStringParser.endCapture",15.2,"json.JsonPureStringParser.readDigit",11.9,"json.JsonPureStringParser.readChar",7.9
