FileName,TargetBlock,Iteration,Benchmark,IsSlowdown,Method1,Percent1,Method2,Percent2,Method3,Percent3,Method4,Percent4,Method5,Percent5
1_5_Richards_Slowdown.xml,1,5,Richards,Slowdown,"richards.TaskControlBlock.runTask",82.4,"richards.Scheduler.schedule",16.4,"richards.RBObject.append",0.3,"richards.Scheduler.start",0.1,"java.io.PrintStream.println",0.1
1_6_Havlak_Slowdown.xml,1,6,Havlak,Slowdown,"som.Vector.forEach",58.2,"som.Vector.append",12.5,"havlak.HavlakLoopFinder.findLoops",8.7,"havlak.HavlakLoopFinder.doDFS",7.9,"java.util.Arrays.copyOf",4.0
1_6_Json_Slowdown.xml,1,6,Json,Slowdown,"json.JsonPureStringParser.read",40.7,"json.JsonPureStringParser.endCapture",15.3,"json.JsonPureStringParser.skipWhiteSpace",14.0,"json.JsonPureStringParser.readDigit",11.4,"json.JsonPureStringParser.readChar",6.5
1_6_List_Slowdown.xml,1,6,List,Slowdown,"List.isShorterThan",90.3,"List.tail",8.8,"List.makeList",0.4,"List.benchmark",0.2,"List$Element.length",0.1
1_6_Richards_Slowdown.xml,1,6,Richards,Slowdown,"richards.TaskControlBlock.runTask",81.9,"richards.Scheduler.schedule",17.0,"richards.RBObject.append",0.3,"java.io.PrintStream.println",0.1,"richards.Scheduler.start",0.1
1_7_Havlak_Slowdown.xml,1,7,Havlak,Slowdown,"som.Vector.forEach",59.7,"som.Vector.append",12.0,"havlak.HavlakLoopFinder.findLoops",8.3,"havlak.HavlakLoopFinder.doDFS",7.9,"java.util.Arrays.copyOf",3.8
1_7_Json_Slowdown.xml,1,7,Json,Slowdown,"json.JsonPureStringParser.read",39.4,"json.JsonPureStringParser.endCapture",15.7,"json.JsonPureStringParser.skipWhiteSpace",14.4,"json.JsonPureStringParser.readDigit",11.6,"json.JsonPureStringParser.readValue",6.5
1_7_List_Slowdown.xml,1,7,List,Slowdown,"List.isShorterThan",89.9,"List.tail",9.2,"List.benchmark",0.3,"List.makeList",0.3,"List$Element.length",0.1
1_7_Richards_Slowdown.xml,1,7,Richards,Slowdown,"richards.TaskControlBlock.runTask",83.1,"richards.Scheduler.schedule",15.8,"richards.RBObject.append",0.3,"richards.Scheduler.start",0.1,"Benchmark.innerBenchmarkLoop",0.1
1_8_Havlak_Slowdown.xml,1,8,Havlak,Slowdown,"som.Vector.forEach",58.5,"som.Vector.append",11.7,"havlak.HavlakLoopFinder.doDFS",8.5,"havlak.HavlakLoopFinder.findLoops",8.4,"java.util.Arrays.copyOf",4.3
