FileName,TargetBlock,Iteration,Benchmark,IsSlowdown,Method1,Count1,Method2,Count2,Method3,Count3,Method4,Count4,Method5,Count5
1_10_Havlak_Slowdown-2025-02-19-shutdown_Method-list-CPU.txt,1,10,Havlak,Slowdown,"som.Vector.hasSome",36.63,"som.Vector.<init>",14.37,"som.Vector.append",7.27,"havlak.HavlakLoopFinder.findLoops",5.88,"som.Vector.forEach",4.55
1_10_Json_Slowdown-2025-02-19-shutdown_Method-list-CPU.txt,1,10,Json,Slowdown,"java.lang.String.equals",45.53,"java.lang.StringLatin1.toBytes",8.85,"java.lang.String.valueOf",7.60,"json.JsonPureStringParser.read",7.31,"json.JsonPureStringParser.readStringInternal",3.43
1_10_List_Slowdown-2025-02-19-shutdown_Method-list-CPU.txt,1,10,List,Slowdown,"List.isShorterThan",48.56,"List$Element.getNext",42.17,"List.tail",8.58,"List.makeList",0.34,"java.lang.Integer.valueOf",0.13
1_10_Richards_Slowdown-2025-02-19-shutdown_Method-list-CPU.txt,1,10,Richards,Slowdown,"richards.TaskState.isTaskHoldingOrWaiting",20.41,"richards.TaskControlBlock.runTask",16.82,"richards.Scheduler.schedule",16.10,"richards.Scheduler$HandlerProcessFunction.apply",8.46,"richards.Scheduler$DeviceProcessFunction.apply",4.58
1_1_Havlak_Slowdown-2025-02-19-shutdown_Method-list-CPU.txt,1,1,Havlak,Slowdown,"som.Vector.hasSome",36.92,"som.Vector.<init>",14.53,"som.Vector.append",7.13,"havlak.HavlakLoopFinder.findLoops",5.86,"som.Vector.forEach",4.20
1_1_Json_Slowdown-2025-02-19-shutdown_Method-list-CPU.txt,1,1,Json,Slowdown,"java.lang.String.equals",45.28,"java.lang.StringLatin1.toBytes",9.24,"java.lang.String.valueOf",6.82,"json.JsonPureStringParser.read",6.57,"json.JsonPureStringParser.readStringInternal",3.68
1_1_List_Slowdown-2025-02-19-shutdown_Method-list-CPU.txt,1,1,List,Slowdown,"List.isShorterThan",50.78,"List$Element.getNext",40.29,"List.tail",8.18,"List.makeList",0.45,"java.lang.Integer.valueOf",0.19
1_1_Richards_Slowdown-2025-02-19-shutdown_Method-list-CPU.txt,1,1,Richards,Slowdown,"richards.TaskState.isTaskHoldingOrWaiting",19.58,"richards.TaskControlBlock.runTask",17.76,"richards.Scheduler.schedule",17.24,"richards.Scheduler$HandlerProcessFunction.apply",7.72,"richards.Scheduler$DeviceProcessFunction.apply",4.36
1_2_Havlak_Slowdown-2025-02-19-shutdown_Method-list-CPU.txt,1,2,Havlak,Slowdown,"som.Vector.hasSome",37.05,"som.Vector.<init>",14.66,"som.Vector.append",6.89,"havlak.HavlakLoopFinder.findLoops",5.59,"som.Vector.forEach",4.35
1_2_Json_Slowdown-2025-02-19-shutdown_Method-list-CPU.txt,1,2,Json,Slowdown,"java.lang.String.equals",45.77,"java.lang.StringLatin1.toBytes",9.24,"java.lang.String.valueOf",6.99,"json.JsonPureStringParser.read",6.38,"json.JsonPureStringParser.readStringInternal",3.83
1_2_List_Slowdown-2025-02-19-shutdown_Method-list-CPU.txt,1,2,List,Slowdown,"List.isShorterThan",48.41,"List$Element.getNext",41.81,"List.tail",9.07,"List.makeList",0.43,"java.lang.Integer.valueOf",0.14
