FileName,TargetBlock,Iteration,Benchmark,IsSlowdown,Method1,Count1,Method2,Count2,Method3,Count3,Method4,Count4,Method5,Count5
2_10_List_Slowdown.jfr,2,10,List,Slowdown,"List.isShorterThan",76.64177272886644,"List.tail",22.667508151888082,"List.makeList",0.5493028528686464,"List$Element.length",0.06311139160618491,"List.benchmark",0.05609901476105325
1_8_List_Slowdown.jfr,1,8,List,Slowdown,"List.isShorterThan",81.27986486330136,"List.tail",18.010898867304554,"List.makeList",0.5611412571878146,"List.benchmark",0.06363457555738103,"List$Element.length",0.06132059099165808
3_9_List_Slowdown.jfr,3,9,List,Slowdown,"List.isShorterThan",78.19934469822878,"List.tail",21.09193219051237,"List.makeList",0.597131867610048,"List.benchmark",0.05104705826487488,"List$Element.length",0.035614226696424334
3_8_Json_Slowdown.jfr,3,8,Json,Slowdown,"json.JsonPureStringParser.isWhiteSpace",27.377275802229477,"json.JsonPureStringParser.read",21.015323980117063,"json.JsonPureStringParser.readStringInternal",9.885584870143239,"json.JsonPureStringParser.isDigit",5.561928292008589,"java.lang.AbstractStringBuilder.ensureCapacityInternal",5.053089796758728
2_1_Richards_Slowdown.jfr,2,1,Richards,Slowdown,"richards.TaskState.isTaskHoldingOrWaiting",25.90584572440818,"richards.Scheduler.schedule",18.286005690053145,"richards.TaskControlBlock.runTask",14.692146653067798,"richards.Scheduler$HandlerProcessFunction.apply",11.76660046164582,"richards.Scheduler$DeviceProcessFunction.apply",8.11906167802888
1_1_Richards_Slowdown.jfr,1,1,Richards,Slowdown,"richards.TaskState.isTaskHoldingOrWaiting",25.290291366519728,"richards.Scheduler.schedule",17.715837006773466,"richards.TaskControlBlock.runTask",15.759058165788625,"richards.Scheduler$HandlerProcessFunction.apply",12.052467476615417,"richards.Scheduler$DeviceProcessFunction.apply",8.066336953015805
1_8_Havlak_Slowdown.jfr,1,8,Havlak,Slowdown,"som.Vector.hasSome",29.864462525661832,"som.Vector.forEach",12.867998753184215,"havlak.SimpleLoop.setParent",12.569192901748766,"som.Vector.append",10.941883336736996,"havlak.HavlakLoopFinder$2.apply",5.405376355643453
3_2_Havlak_Slowdown.jfr,3,2,Havlak,Slowdown,"som.Vector.hasSome",30.506194845101533,"som.Vector.forEach",18.102288757422333,"som.Vector.append",11.281944733014752,"havlak.SimpleLoop.setParent",6.5261845659234305,"havlak.HavlakLoopFinder$2.apply",5.512482640217831
2_1_Json_Slowdown.jfr,2,1,Json,Slowdown,"json.JsonPureStringParser.read",21.42098430308037,"json.JsonPureStringParser.skipWhiteSpace",17.012864392777058,"json.JsonPureStringParser.isWhiteSpace",12.92930485070223,"json.JsonPureStringParser.readStringInternal",9.825327510917031,"json.JsonPureStringParser.isDigit",5.75652071285259
1_8_Richards_Slowdown.jfr,1,8,Richards,Slowdown,"richards.TaskState.isTaskHoldingOrWaiting",25.363898081631554,"richards.Scheduler.schedule",17.814190007264507,"richards.TaskControlBlock.runTask",15.64021847337692,"richards.Scheduler$HandlerProcessFunction.apply",11.989130142330563,"richards.Scheduler$DeviceProcessFunction.apply",8.25463448758307
