FileName,TargetBlock,Iteration,Benchmark,IsSlowdown,Method1,Count1,Method2,Count2,Method3,Count3,Method4,Count4,Method5,Count5
1_9_Richards_NoSlowdown.txt,1,9,Richards,NoSlowdown,"richards.TaskState.isTaskHoldingOrWaiting",19.66,"richards.Scheduler.schedule",17.94,"richards.TaskControlBlock.runTask",14.70,"richards.Scheduler$HandlerProcessFunction.apply",9.73,"richards.Scheduler$DeviceProcessFunction.apply",6.11
2_2_List_NoSlowdown.txt,2,2,List,NoSlowdown,"List$Element.getNext",44.60,"List.isShorterThan",39.44,"List.tail",14.95,"List.makeList",0.36,"java.lang.Integer.valueOf",0.22
3_3_Richards_NoSlowdown.txt,3,3,Richards,NoSlowdown,"richards.Scheduler.schedule",28.76,"richards.TaskControlBlock.runTask",13.58,"richards.Scheduler$HandlerProcessFunction.apply",10.31,"richards.Scheduler$DeviceProcessFunction.apply",7.11,"richards.TaskState.isTaskHoldingOrWaiting",6.50
1_9_Json_NoSlowdown.txt,1,9,Json,NoSlowdown,"java.lang.String.equals",43.33,"java.lang.StringLatin1.toBytes",8.43,"json.JsonPureStringParser.read",6.78,"java.lang.String.valueOf",5.74,"json.JsonPureStringParser.readStringInternal",3.53
3_2_Json_NoSlowdown.txt,3,2,Json,NoSlowdown,"java.lang.String.equals",39.63,"json.JsonPureStringParser.isWhiteSpace",8.90,"java.lang.StringLatin1.toBytes",8.12,"json.JsonPureStringParser.read",6.73,"java.lang.String.valueOf",6.18
1_9_Havlak_NoSlowdown.txt,1,9,Havlak,NoSlowdown,"som.Vector.hasSome",38.05,"som.Vector.<init>",12.80,"som.Vector.append",5.45,"havlak.HavlakLoopFinder.findLoops",5.07,"som.Vector.forEach",2.91
1_1_Json_NoSlowdown.txt,1,1,Json,NoSlowdown,"java.lang.String.equals",43.60,"java.lang.StringLatin1.toBytes",8.18,"java.lang.String.valueOf",6.68,"json.JsonPureStringParser.read",6.17,"json.JsonPureStringParser.readStringInternal",3.86
1_5_Richards_NoSlowdown.txt,1,5,Richards,NoSlowdown,"richards.TaskState.isTaskHoldingOrWaiting",18.28,"richards.Scheduler.schedule",17.36,"richards.TaskControlBlock.runTask",15.48,"richards.Scheduler$HandlerProcessFunction.apply",9.68,"richards.Scheduler$DeviceProcessFunction.apply",6.72
1_1_List_NoSlowdown.txt,1,1,List,NoSlowdown,"List.isShorterThan",46.17,"List$Element.getNext",42.94,"List.tail",9.90,"List.makeList",0.40,"java.lang.Integer.valueOf",0.17
1_1_Havlak_NoSlowdown.txt,1,1,Havlak,NoSlowdown,"som.Vector.hasSome",38.36,"som.Vector.<init>",12.66,"som.Vector.append",5.83,"havlak.HavlakLoopFinder.findLoops",5.44,"havlak.UnionFindNode.initNode",3.03
3_10_List_NoSlowdown.txt,3,10,List,NoSlowdown,"List$Element.getNext",43.59,"List.isShorterThan",40.93,"List.tail",14.39,"List.makeList",0.45,"java.lang.Integer.valueOf",0.19
1_1_Richards_NoSlowdown.txt,1,1,Richards,NoSlowdown,"richards.TaskState.isTaskHoldingOrWaiting",19.26,"richards.Scheduler.schedule",18.90,"richards.TaskControlBlock.runTask",14.70,"richards.Scheduler$HandlerProcessFunction.apply",9.10,"richards.Scheduler$DeviceProcessFunction.apply",6.00
1_10_Richards_NoSlowdown.txt,1,10,Richards,NoSlowdown,"richards.TaskState.isTaskHoldingOrWaiting",19.67,"richards.Scheduler.schedule",18.63,"richards.TaskControlBlock.runTask",14.74,"richards.Scheduler$HandlerProcessFunction.apply",9.76,"richards.Scheduler$DeviceProcessFunction.apply",5.77
3_5_Json_NoSlowdown.txt,3,5,Json,NoSlowdown,"java.lang.String.equals",39.83,"json.JsonPureStringParser.isWhiteSpace",8.29,"java.lang.StringLatin1.toBytes",7.79,"json.JsonPureStringParser.read",6.99,"java.lang.String.valueOf",5.28
1_7_List_NoSlowdown.txt,1,7,List,NoSlowdown,"List.isShorterThan",46.62,"List$Element.getNext",42.61,"List.tail",9.84,"List.makeList",0.43,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.17
100_3_Richards_NoSlowdown.txt,100,3,Richards,NoSlowdown,"richards.Scheduler.schedule",19.63,"richards.TaskControlBlock.runTask",17.79,"richards.Scheduler$HandlerProcessFunction.apply",11.80,"richards.TaskState.isTaskHoldingOrWaiting",7.45,"richards.Scheduler$DeviceProcessFunction.apply",6.91
100_10_List_NoSlowdown.txt,100,10,List,NoSlowdown,"List$Element.getNext",45.73,"List.isShorterThan",41.44,"List.tail",11.79,"List.makeList",0.41,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.18
100_10_Havlak_NoSlowdown.txt,100,10,Havlak,NoSlowdown,"som.Vector.hasSome",33.84,"som.Vector.<init>",14.41,"som.Vector.append",6.17,"havlak.HavlakLoopFinder.findLoops",5.42,"som.Vector.forEach",3.06
100_10_Json_NoSlowdown.txt,100,10,Json,NoSlowdown,"java.lang.String.equals",34.33,"java.lang.StringLatin1.toBytes",10.61,"java.lang.String.valueOf",7.66,"json.JsonPureStringParser.read",6.96,"json.JsonPureStringParser.readStringInternal",3.80
100_7_Richards_NoSlowdown.txt,100,7,Richards,NoSlowdown,"richards.Scheduler.schedule",19.88,"richards.TaskControlBlock.runTask",18.17,"richards.Scheduler$HandlerProcessFunction.apply",11.00,"richards.TaskState.isTaskHoldingOrWaiting",7.53,"richards.Scheduler$DeviceProcessFunction.apply",7.48
100_5_List_NoSlowdown.txt,100,5,List,NoSlowdown,"List$Element.getNext",43.63,"List.isShorterThan",42.85,"List.tail",12.38,"List.makeList",0.43,"java.lang.Integer.valueOf",0.19
100_7_Json_NoSlowdown.txt,100,7,Json,NoSlowdown,"java.lang.String.equals",34.68,"java.lang.StringLatin1.toBytes",9.61,"java.lang.String.valueOf",7.84,"json.JsonPureStringParser.read",6.75,"json.JsonPureStringParser.readStringInternal",3.27
100_1_List_NoSlowdown.txt,100,1,List,NoSlowdown,"List$Element.getNext",44.29,"List.isShorterThan",42.17,"List.tail",12.37,"List.makeList",0.54,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.19
100_5_Json_NoSlowdown.txt,100,5,Json,NoSlowdown,"java.lang.String.equals",35.25,"java.lang.StringLatin1.toBytes",9.26,"json.JsonPureStringParser.read",7.75,"java.lang.String.valueOf",7.61,"json.JsonPureStringParser.readStringInternal",3.48
100_6_Json_NoSlowdown.txt,100,6,Json,NoSlowdown,"java.lang.String.equals",34.97,"java.lang.StringLatin1.toBytes",9.81,"json.JsonPureStringParser.read",7.89,"java.lang.String.valueOf",7.52,"json.JsonPureStringParser.subStringFromTo",3.25
100_9_Havlak_NoSlowdown.txt,100,9,Havlak,NoSlowdown,"som.Vector.hasSome",34.01,"som.Vector.<init>",14.71,"som.Vector.append",6.05,"havlak.HavlakLoopFinder.findLoops",5.38,"som.Vector.forEach",3.09
100_8_Json_NoSlowdown.txt,100,8,Json,NoSlowdown,"java.lang.String.equals",34.34,"java.lang.StringLatin1.toBytes",9.37,"java.lang.String.valueOf",7.60,"json.JsonPureStringParser.read",7.57,"json.JsonPureStringParser.subStringFromTo",3.25
100_6_Richards_NoSlowdown.txt,100,6,Richards,NoSlowdown,"richards.Scheduler.schedule",19.10,"richards.TaskControlBlock.runTask",18.08,"richards.Scheduler$HandlerProcessFunction.apply",11.59,"richards.TaskState.isTaskHoldingOrWaiting",7.56,"richards.Scheduler$DeviceProcessFunction.apply",7.13
100_3_Json_NoSlowdown.txt,100,3,Json,NoSlowdown,"java.lang.String.equals",35.76,"java.lang.StringLatin1.toBytes",9.73,"java.lang.String.valueOf",7.85,"json.JsonPureStringParser.read",7.85,"json.JsonPureStringParser.readStringInternal",2.84
