FileName,SlowdownSpeed,Iteration,Benchmark,IsSlowdown,Method1,Count1,Method2,Count2,Method3,Count3,Method4,Count4,Method5,Count5,Method6,Count6,Method7,Count7,Method8,Count8,Method9,Count9,Method10,Count10,Method11,Count11,Method12,Count12,Method13,Count13,Method14,Count14,Method15,Count15,Method16,Count16,Method17,Count17,Method18,Count18,Method19,Count19,Method20,Count20
150_5_List_Slowdown.txt,150,5,List,Slowdown,"List.isShorterThan",67.36,"List$Element.getNext",20.17,"List.tail",11.97,"List.makeList",0.22,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.11,"java.lang.Integer.valueOf",0.07,"G1ParScanThreadState::trim_queue_to_threshold",0.01,"java.lang.StringConcatHelper.mix",0.01,"List.benchmark",0.01,"List$Element.length",0.01,"StatSamplerTask::task",0.00,"VMError::is_error_reported",0.00,"OopStorage::BasicParState::increment_num_dead",0.00,"HeapRegion::clear_cardtable",0.00,"jdk.internal.org.objectweb.asm.Type.getTypeInternal",0.00,"java.lang.invoke.LambdaForm.create",0.00,"Interpreter",0.00,"__tls_get_addr",0.00,"java.lang.String.checkBoundsBeginEnd",0.00,"java.io.PrintStream.ensureOpen",0.00
150_9_Towers_NoSlowdown.txt,150,9,Towers,NoSlowdown,"Towers.popDiskFrom",30.75,"Towers.moveDisks",21.56,"Towers.pushDisk",18.94,"Towers$TowersDisk.setNext",17.51,"Towers.moveTopDisk",7.16,"Towers$TowersDisk.getSize",3.29,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.42,"Towers.buildTowerAt",0.12,"_raw_spin_unlock_irqrestore_[k]",0.05,"do_user_addr_fault_[k]",0.04,"java.lang.String.substring",0.02,"JavaFrameAnchor::make_walkable",0.02,"filldir64_[k]",0.02,"jdk.internal.org.objectweb.asm.SymbolTable.addConstantUtf8",0.02,"charge_memcg_[k]",0.02,"vfs_write_[k]",0.02,"Towers.verifyResult",0.02,"rmqueue_[k]",0.02,"G1CardTable::is_in_young",0.02,"",0
100_8_Storage_NoSlowdown.txt,100,8,Storage,NoSlowdown,"Storage.buildTreeDepth",59.35,"som.Arrays.setAll",28.07,"jdk.internal.misc.Unsafe.allocateInstance",3.85,"Storage$$Lambda.apply",2.75,"som.Random.next",2.14,"Storage.lambda$buildTreeDepth$0",1.70,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.28,"G1ParScanThreadState::trim_queue_to_threshold",0.24,"G1MergeHeapRootsTask::G1MergeCardSetClosure::do_heap_region",0.08,"__futex_abstimed_wait_common",0.08,"HeapRegionManager::par_iterate",0.07,"mem_cgroup_handle_over_high_[k]",0.05,"_raw_spin_unlock_irqrestore_[k]",0.05,"[vdso]",0.04,"FreeListAllocator::reset",0.04,"G1ScanCollectionSetRegionClosure::do_heap_region",0.04,"syscall_enter_from_user_mode_[k]",0.04,"__memset_avx2_unaligned_erms",0.04,"__get_user_nocheck_4_[k]",0.03,"G1CardSet::reset_table_scanner",0.03
150_8_Bounce_Slowdown.txt,150,8,Bounce,Slowdown,"Bounce$Ball.bounce",57.95,"Bounce.benchmark",32.09,"java.lang.Math.abs",3.02,"Bounce$Ball.<init>",2.90,"som.Random.next",1.48,"Bounce.lambda$benchmark$0",1.14,"java.util.Arrays.setAll",1.08,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.10,"G1ParScanThreadState::trim_queue_to_threshold",0.02,"G1CardSet::reset_table_scanner",0.01,"java.lang.invoke.MemberName.checkForTypeAlias",0.01,"clear_page_erms_[k]",0.01,"do_user_addr_fault_[k]",0.01,"do_futex_[k]",0.01,"__rseq_handle_notify_resume_[k]",0.01,"[vdso]",0.01,"__list_add_valid_[k]",0.01,"_raw_spin_unlock_irqrestore_[k]",0.01,"__futex_abstimed_wait_common",0.01,"mtree_range_walk_[k]",0.01
100_1_Sieve_Slowdown.txt,100,1,Sieve,Slowdown,"Sieve.sieve",89.65,"java.util.Arrays.fill",9.23,"Sieve.benchmark",0.81,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.09,"G1ParScanThreadState::trim_queue_to_threshold",0.02,"_int_malloc",0.01,"HeapRegionManager::par_iterate",0.01,"__memset_avx2_unaligned_erms",0.01,"syscall_enter_from_user_mode_[k]",0.01,"xfs_bmbt_to_iomap?[xfs]_[k]",0.01,"__tls_get_addr",0.01,"G1CollectedHeap::prepare_for_mutator_after_young_collection",0.01,"AbsSeq::davg",0.01,"[vdso]",0.01,"HandleArea::oops_do",0.01,"G1ParScanThreadState::steal_and_trim_queue",0.01,"__list_del_entry_valid_[k]",0.01,"sun.invoke.util.Wrapper.isIntegral",0.01,"blk_cgroup_congested_[k]",0.01,"java.io.PrintStream.implWriteln",0.01
50_9_Towers_Slowdown.txt,50,9,Towers,Slowdown,"Towers.popDiskFrom",31.85,"Towers.pushDisk",20.15,"Towers.moveDisks",19.94,"Towers$TowersDisk.setNext",17.93,"Towers.moveTopDisk",8.03,"Towers$TowersDisk.getSize",1.61,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.26,"Towers.buildTowerAt",0.03,"JVMCIEnv::has_pending_exception",0.02,"__condvar_release_lock",0.01,"Rewriter::scan_method",0.01,"jni_ExceptionOccurred",0.01,"jdk.internal.org.objectweb.asm.SymbolTable.put",0.01,"jdk.internal.org.objectweb.asm.MethodWriter.visitLabel",0.01,"DepChange::is_klass_init_change",0.01,"__pte_offset_map_lock_[k]",0.01,"clear_page_erms_[k]",0.01,"HandleMark::~HandleMark",0.01,"java.nio.CharBuffer.limit",0.01,"java.lang.Long.stringSize",0.01
50_10_List_Slowdown.txt,50,10,List,Slowdown,"List.isShorterThan",59.45,"List$Element.getNext",29.75,"List.tail",10.12,"List.makeList",0.22,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.14,"List$Element.length",0.07,"java.lang.Integer.valueOf",0.07,"List.benchmark",0.03,"G1ParScanThreadState::trim_queue_to_threshold",0.01,"clear_page_erms_[k]",0.01,"do_user_addr_fault_[k]",0.01,"List.verifyResult",0.01,"exit_to_user_mode_loop_[k]",0.01,"pthread_mutex_lock@@GLIBC_2.2.5",0.01,"void",0.01,"java.lang.Character.digit",0.01,"post_alloc_hook_[k]",0.01,"java.util.Arrays.copyOf",0.01,"__tls_get_addr",0.01,"jdk.internal.org.objectweb.asm.Frame.pop",0.01
50_9_CD_Slowdown.txt,50,9,CD,Slowdown,"cd.RedBlackTree.treeInsert",20.91,"cd.CollisionDetector.isInVoxel",12.68,"cd.RedBlackTree.put",10.51,"cd.CallSign.compareTo",10.40,"cd.RedBlackTree.findNode",8.29,"cd.Vector2D.compareTo",5.71,"cd.CollisionDetector.recurse",3.14,"cd.RedBlackTree.leftRotate",2.47,"cd.Vector2D.compareNumbers",2.32,"som.Vector.append",2.31,"cd.RedBlackTree.treeMinimum",2.01,"cd.RedBlackTree.forEach",1.98,"cd.CollisionDetector.voxelHash",1.67,"som.Vector.<init>",1.52,"cd.CollisionDetector.handleNewFrame",1.42,"cd.Vector2D.minus",1.35,"cd.Vector2D.plus",1.25,"cd.CollisionDetector$RemoveAbsentAircraft.apply",1.23,"cd.RedBlackTree$Node.successor",1.22,"cd.CollisionDetector.putIntoMap",1.06
50_7_Richards_Slowdown.txt,50,7,Richards,Slowdown,"richards.Scheduler.schedule",22.25,"richards.TaskControlBlock.runTask",19.72,"richards.Scheduler$HandlerProcessFunction.apply",10.16,"richards.TaskState.isTaskHoldingOrWaiting",6.78,"richards.Scheduler$DeviceProcessFunction.apply",6.64,"richards.TaskControlBlock.addInputAndCheckPriority",4.47,"richards.Packet.setLink",3.99,"richards.Scheduler.findTask",2.86,"richards.Scheduler$IdleProcessFunction.apply",2.50,"richards.TaskState.isWaitingWithPacket",1.97,"richards.TaskControlBlock.getIdentity",1.68,"richards.Scheduler$WorkerProcessFunction.apply",1.55,"richards.HandlerTaskDataRecord.deviceIn",1.50,"richards.DeviceTaskDataRecord.setPending",1.21,"richards.IdleTaskDataRecord.setControl",1.10,"richards.Packet.getDatum",1.00,"richards.Scheduler.queuePacket",0.98,"richards.HandlerTaskDataRecord.deviceInAdd",0.89,"richards.TaskState.setTaskHolding",0.87,"richards.TaskControlBlock.getLink",0.86
50_1_Mandelbrot_NoSlowdown.txt,50,1,Mandelbrot,NoSlowdown,"Mandelbrot.mandelbrot",99.63,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.20,"__memcpy_avx_unaligned_erms",0.03,"resource_allocate_bytes",0.02,"jdk.internal.org.objectweb.asm.SymbolTable.addConstantNameAndType",0.02,"nmethod::is_nmethod",0.02,"do_user_addr_fault_[k]",0.02,"sun.invoke.util.Wrapper.isSubwordOrInt",0.02,"sun.nio.cs.StreamEncoder.flushBuffer",0.02,"java.lang.StringCoding.implEncodeAsciiArray",0.02,"ObjArrayAllocator::initialize",0.02,"vm_normal_page_[k]",0.02,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
50_10_Json_NoSlowdown.txt,50,10,Json,NoSlowdown,"java.lang.String.equals",33.67,"java.lang.StringLatin1.toBytes",10.79,"json.JsonPureStringParser.read",8.37,"java.lang.String.valueOf",7.47,"json.JsonPureStringParser.readStringInternal",3.46,"json.JsonPureStringParser.subStringFromTo",2.91,"java.lang.String.isLatin1",2.71,"som.Vector.append",2.63,"json.JsonPureStringParser.isWhiteSpace",2.28,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",2.08,"som.Vector.<init>",1.93,"json.JsonPureStringParser.readValue",1.90,"java.lang.AbstractStringBuilder.append",1.79,"jbyte_disjoint_arraycopy",1.70,"java.lang.AbstractStringBuilder.<init>",1.38,"java.lang.Object.clone",0.98,"json.JsonPureStringParser.readChar",0.98,"java.lang.StringLatin1.charAt",0.89,"java.lang.String.hashCode",0.89,"json.JsonPureStringParser.readDigit",0.78
