FileName,SlowdownSpeed,Iteration,Benchmark,IsSlowdown,Method1,Count1,Method2,Count2,Method3,Count3,Method4,Count4,Method5,Count5,Method6,Count6,Method7,Count7,Method8,Count8,Method9,Count9,Method10,Count10,Method11,Count11,Method12,Count12,Method13,Count13,Method14,Count14,Method15,Count15,Method16,Count16,Method17,Count17,Method18,Count18,Method19,Count19,Method20,Count20
100_9_NBody_NoSlowdown.jfr,100,9,NBody,NoSlowdown,"nbody.NBodySystem.advance",59.90251666169303,"nbody.Body.setVX",13.960011936735302,"nbody.Body.getVX",4.271361782552472,"nbody.Body.getX",3.362180443648662,"nbody.Body.setVY",3.3343280612752415,"nbody.Body.getVZ",2.9682681786531386,"nbody.Body.getY",2.4669252959315626,"java.lang.Math.sqrt",2.3157266487615638,"nbody.Body.getZ",2.216253854570775,"nbody.Body.setVZ",2.1227494280314336,"nbody.Body.getVY",0.9628966477668358,"nbody.Body.setZ",0.7241619417089427,"nbody.Body.setX",0.6425942504724957,"nbody.Body.setY",0.3521336914353924,"NBody.innerBenchmarkLoop",0.32030239729434,"nbody.Body.getMass",0.0676415000497364,"java.nio.Buffer.position",0.003978911767631553,"jdk.internal.loader.URLClassPath$JarLoader$2.getContentLength",0.0019894558838157764,"jdk.internal.org.objectweb.asm.MethodWriter.visitInsn",0.0019894558838157764,"sun.nio.cs.US_ASCII$Encoder.encodeArrayLoop",0.0019894558838157764
100_2_NBody_NoSlowdown.jfr,100,2,NBody,NoSlowdown,"nbody.NBodySystem.advance",60.41492786455228,"nbody.Body.setVX",13.658042208179324,"nbody.Body.getVX",3.9704304280434,"nbody.Body.setVY",3.3504232741147013,"nbody.Body.getX",3.2292039267119748,"nbody.Body.getVZ",2.9847780294900836,"nbody.Body.getY",2.511823854377807,"java.lang.Math.sqrt",2.3329756368983743,"nbody.Body.getZ",2.2197050991614007,"nbody.Body.setVZ",2.142204204920313,"nbody.Body.getVY",0.8862922777314097,"nbody.Body.setZ",0.7531497158300544,"nbody.Body.setX",0.6994952505862246,"NBody.innerBenchmarkLoop",0.4014148881205039,"nbody.Body.setY",0.35372203012598863,"nbody.Body.getMass",0.06955208457533484,"java.lang.invoke.LambdaForm$MH+0x00007fee0800f800.1306324352.invoke",0.0019872024164381383,"java.lang.Integer.getChars",0.0019872024164381383,"java.lang.invoke.InvokerBytecodeGenerator.classDataValues",0.0019872024164381383,"jdk.jfr.events.ExceptionStatisticsEvent.commit",0.0019872024164381383
100_3_Havlak_Slowdown.jfr,100,3,Havlak,Slowdown,"som.Vector.hasSome",35.31598328025478,"som.Vector.<init>",21.200736464968152,"havlak.HavlakLoopFinder.findLoops",6.506767515923567,"som.Vector.append",5.189589968152866,"havlak.UnionFindNode.initNode",3.9654657643312103,"som.Vector.forEach",3.156349522292994,"havlak.HavlakLoopFinder.stepD",2.3805732484076434,"havlak.HavlakLoopFinder$5.apply",2.1043988853503186,"havlak.HavlakLoopFinder.doDFS",1.9984076433121019,"havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$1",1.4147093949044587,"som.Vector.at",1.2131767515923566,"havlak.UnionFindNode.findSet",0.9210788216560509,"jdk.internal.misc.Unsafe.allocateInstance",0.8071257961783439,"havlak.HavlakLoopFinder$2.apply",0.8011544585987261,"som.Dictionary.atPut",0.7623407643312102,"som.Vector.size",0.7299960191082803,"havlak.HavlakLoopFinder$1.apply",0.7140724522292994,"som.Vector.removeFirst",0.6757563694267515,"som.Set.<init>",0.6463972929936306,"som.Dictionary.at",0.612062101910828
150_3_Mandelbrot_Slowdown.jfr,150,3,Mandelbrot,Slowdown,"Mandelbrot.mandelbrot",99.98876938931903,"jdk.jfr.internal.instrument.JDKEvents.emitExceptionStatistics",0.0013212483154083979,"java.nio.ByteBuffer.arrayOffset",6.606241577041989E-4,"java.lang.invoke.DelegatingMethodHandle$Holder.reinvoke_L",6.606241577041989E-4,"java.util.ArrayList.elementData",6.606241577041989E-4,"java.io.PrintStream.implWrite",6.606241577041989E-4,"sun.nio.cs.StreamEncoder.implWrite",6.606241577041989E-4,"sun.nio.cs.StreamEncoder.ensureOpen",6.606241577041989E-4,"sun.nio.cs.US_ASCII$Encoder.encodeArrayLoop",6.606241577041989E-4,"sun.nio.cs.StreamEncoder.lockedFlushBuffer",6.606241577041989E-4,"java.lang.invoke.LambdaForm$MH+0x00007ff1dc00e400.1559122513.invoke",6.606241577041989E-4,"java.lang.StringConcatHelper.mix",6.606241577041989E-4,"java.lang.String.getChars",6.606241577041989E-4,"java.io.BufferedWriter.implWrite",6.606241577041989E-4,"jdk.jfr.internal.periodic.PeriodicEvents.doPeriodic",6.606241577041989E-4,"java.io.BufferedWriter.write",6.606241577041989E-4,"java.lang.invoke.LambdaForm$MH+0x00007ff1dc00d800.1219161283.invoke",6.606241577041989E-4,"null",null,"null",null,"null",null
50_3_List_NoSlowdown.jfr,50,3,List,NoSlowdown,"List$Element.getNext",46.61926259383833,"List.isShorterThan",44.60501579425269,"List.tail",8.053150537771923,"List.makeList",0.4514470604785595,"java.lang.Integer.valueOf",0.16241863082373104,"List$Element.length",0.05882879541646951,"List.benchmark",0.016625529139437035,"Benchmark.innerBenchmarkLoop",0.008952207998158403,"List.verifyResult",0.0038366605706393157,"sun.nio.cs.StreamEncoder.lockedWrite",0.002557773713759544,"java.lang.invoke.LambdaForm$MH+0x00007f9c2000ac00.1846406218.invoke",0.001278886856879772,"java.io.BufferedWriter.newLine",0.001278886856879772,"java.util.Arrays.rangeCheck",0.001278886856879772,"java.lang.Integer.stringSize",0.001278886856879772,"sun.nio.cs.StreamEncoder.implWrite",0.001278886856879772,"java.lang.StringConcatHelper.prepend",0.001278886856879772,"java.lang.Integer.getChars",0.001278886856879772,"java.lang.invoke.MemberName.getInvocationType",0.001278886856879772,"java.lang.invoke.DirectMethodHandle.makePreparedLambdaForm",0.001278886856879772,"java.lang.String.getChars",0.001278886856879772
50_9_CD_Slowdown.jfr,50,9,CD,Slowdown,"cd.RedBlackTree.treeInsert",21.13775638693791,"cd.CollisionDetector.isInVoxel",13.842795981755604,"cd.RedBlackTree.put",10.854296667319584,"cd.CallSign.compareTo",10.664017684752498,"cd.RedBlackTree.findNode",9.013067688949828,"cd.Vector2D.compareTo",5.685983714357668,"cd.Vector2D.compareNumbers",2.7646416878865043,"cd.RedBlackTree.leftRotate",2.5673671544897445,"som.Vector.append",2.3267202059490164,"cd.RedBlackTree.forEach",2.160226096202815,"cd.CollisionDetector.recurse",1.955956011976383,"cd.RedBlackTree.treeMinimum",1.9545569018104485,"som.Vector.<init>",1.8552200800291014,"cd.CollisionDetector.voxelHash",1.5516131740213224,"cd.CollisionDetector.handleNewFrame",1.450877242074041,"cd.Vector2D.minus",1.4452808014103031,"cd.Vector2D.plus",1.3501413101267594,"cd.RedBlackTree$Node.successor",1.30956711531466,"cd.RedBlackTree.get",0.9737806754903882,"cd.CollisionDetector.putIntoMap",0.9402020315079609
100_7_Havlak_NoSlowdown.jfr,100,7,Havlak,NoSlowdown,"som.Vector.hasSome",36.88940117951186,"som.Vector.<init>",15.748833357580098,"som.Vector.append",6.603699683299948,"havlak.HavlakLoopFinder.findLoops",5.833771640237694,"som.Vector.forEach",3.438937320247541,"havlak.UnionFindNode.initNode",3.3270291744536085,"som.Vector.at",2.369095446457548,"havlak.HavlakLoopFinder.doDFS",2.021061113038418,"havlak.HavlakLoopFinder$2.apply",1.8643897089269128,"havlak.HavlakLoopFinder$5.apply",1.8621515460110343,"havlak.HavlakLoopFinder.stepD",1.6428115802549268,"som.Dictionary.at",1.5264271086292371,"som.Vector.size",1.2377040924808917,"havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$1",1.0955807473225976,"havlak.UnionFindNode.findSet",0.9366711802952138,"havlak.HavlakLoopFinder.identifyEdges",0.8135722199218881,"som.Dictionary.transferEntries",0.7486654953614074,"som.Set.<init>",0.7341174364081962,"havlak.HavlakLoopFinder.isAncestor",0.7218075403708636,"som.Dictionary.atPut",0.6904732595485625
150_10_Sieve_NoSlowdown.jfr,150,10,Sieve,NoSlowdown,"Sieve.sieve",89.94415386613457,"java.util.Arrays.fill",9.175059329137985,"Sieve.benchmark",0.8382823476628453,"Benchmark.innerBenchmarkLoop",0.009445434903243326,"sun.nio.cs.US_ASCII$Encoder.encodeArrayLoop",0.0023613587258108316,"java.io.BufferedWriter.implWrite",0.0023613587258108316,"java.io.PrintStream.write",0.0023613587258108316,"java.lang.StringCoding.implEncodeAsciiArray",0.0023613587258108316,"java.lang.String.getChars",0.0023613587258108316,"java.nio.Buffer.capacity",0.0011806793629054158,"Run.measure",0.0011806793629054158,"java.util.concurrent.locks.AbstractOwnableSynchronizer.setExclusiveOwnerThread",0.0011806793629054158,"jdk.jfr.internal.consumer.EventLog.isLogging",0.0011806793629054158,"java.io.BufferedWriter.implFlushBuffer",0.0011806793629054158,"Sieve.verifyResult",0.0011806793629054158,"jdk.jfr.internal.event.EventWriter.isValidForSize",0.0011806793629054158,"jdk.jfr.events.ExceptionStatisticsEvent.commit",0.0011806793629054158,"jdk.internal.misc.Unsafe.allocateUninitializedArray",0.0011806793629054158,"java.lang.invoke.LambdaForm$MH+0x00007f48a0011800.1052245076.linkToTargetMethod",0.0011806793629054158,"java.nio.ByteBuffer.arrayOffset",0.0011806793629054158
100_10_Richards_NoSlowdown.jfr,100,10,Richards,NoSlowdown,"richards.Scheduler.schedule",20.937139085959416,"richards.TaskControlBlock.runTask",17.887587306825058,"richards.Scheduler$HandlerProcessFunction.apply",9.907606005609637,"richards.TaskState.isTaskHoldingOrWaiting",7.759995600285982,"richards.Scheduler$DeviceProcessFunction.apply",5.881867678600892,"richards.TaskControlBlock.addInputAndCheckPriority",4.0669856459330145,"richards.Scheduler.findTask",2.9615574987625806,"richards.TaskControlBlock.getIdentity",2.835065720728153,"richards.Scheduler$IdleProcessFunction.apply",2.780069295495793,"richards.Packet.setLink",2.323598966067206,"richards.TaskState.isWaitingWithPacket",2.0541164824286424,"richards.HandlerTaskDataRecord.deviceIn",1.7818841775284608,"richards.TaskControlBlock.getLink",1.7763845350052248,"richards.DeviceTaskDataRecord.setPending",1.740636858604191,"richards.Scheduler$WorkerProcessFunction.apply",1.674641148325359,"richards.IdleTaskDataRecord.setControl",1.611395259308145,"richards.RBObject.append",1.5234009789363692,"richards.TaskState.setTaskHolding",1.3556618819776716,"richards.Scheduler.queuePacket",1.3309134906231095,"richards.HandlerTaskDataRecord.deviceInAdd",0.9294395864268823
100_10_Storage_Slowdown.jfr,100,10,Storage,Slowdown,"Storage.buildTreeDepth",59.18548897801635,"som.Arrays.setAll",27.165947950906187,"Storage$$Lambda+0x00007efdd800e000.2081191879.apply",5.186815837881849,"jdk.internal.misc.Unsafe.allocateInstance",3.9029281384759207,"som.Random.next",3.67449715026688,"Storage.lambda$buildTreeDepth$0",0.857935526672899,"Storage.benchmark",0.0022616929525647598,"java.lang.Long.getChars",0.0022616929525647598,"java.lang.Integer.stringSize",0.00150779530170984,"java.lang.Integer.valueOf",0.00150779530170984,"Benchmark.innerBenchmarkLoop",0.00150779530170984,"jdk.jfr.internal.PlatformRecorder.periodicTask",0.00150779530170984,"java.lang.invoke.DirectMethodHandle$Holder.invokeStatic",0.00150779530170984,"java.lang.Thread.run",7.5389765085492E-4,"java.util.zip.ZipFile.getInputStream",7.5389765085492E-4,"java.lang.AbstractStringBuilder.<init>",7.5389765085492E-4,"java.nio.Buffer.<init>",7.5389765085492E-4,"Run.measure",7.5389765085492E-4,"jdk.internal.org.objectweb.asm.FieldVisitor.<init>",7.5389765085492E-4,"java.io.Writer.write",7.5389765085492E-4
