Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+-----------------+-----------+
|                                                                        Method                                                                        |    Time (ms)    |  Own Time (ms)  |  Samples  |
|  som.Set.contains(Object)                                                                                                                            |      551    1%  |              0  |       56  |
|  som.Dictionary.getBucketIdx(int)                                                                                                                    |      497    0%  |            497  |       51  |
|  havlak.HavlakLoopFinder.<init>(ControlFlowGraph, LoopStructureGraph)                                                                                |      481    0%  |             59  |       48  |
|  som.Dictionary.getBucket(int)                                                                                                                       |      472    0%  |            272  |       48  |
|  havlak.HavlakLoopFinder.isAncestor(int, int)                                                                                                        |      469    0%  |            469  |       48  |
|  som.IdentityDictionary$IdEntry.match(int, Object)                                                                                                   |      438    0%  |            438  |       44  |
|  havlak.BasicBlock.getNumPred()                                                                                                                      |      428    0%  |              0  |       44  |
|  havlak.HavlakLoopFinder$$Lambda.0x00000008000cbc00.test(Object)                                                                                     |      391    0%  |            391  |       39  |
|  havlak.UnionFindNode.union(UnionFindNode)                                                                                                           |      388    0%  |            388  |       40  |
|  som.Set.size()                                                                                                                                      |      382    0%  |              0  |       39  |
|  som.IdentityDictionary.newEntry(Dictionary$CustomHash, Object, int)                                                                                 |      380    0%  |            380  |       38  |
|  som.Dictionary.hash(Dictionary$CustomHash)                                                                                                          |      375    0%  |            375  |       39  |
|  som.Vector.removeAll()                                                                                                                              |      249    0%  |            249  |       26  |
|  som.Vector.removeFirst()                                                                                                                            |      227    0%  |            227  |       23  |
|  java.util.Arrays.copyOf(Object[], int) Arrays.java                                                                                                  |      211    0%  |          < 0.1  |       22  |
|  havlak.LoopTesterApp.constructCFG(int, int, int)                                                                                                    |      201    0%  |              0  |       21  |
|  java.util.Arrays.copyOf(Object[], int, Class) Arrays.java                                                                                           |      201    0%  |            119  |       21  |
|  havlak.LoopTesterApp.buildBaseLoop(int)                                                                                                             |      191    0%  |              9  |       20  |
|  havlak.BasicBlockEdge.<init>(ControlFlowGraph, int, int)                                                                                            |      181    0%  |             29  |       19  |
|  som.Set.lambda$contains$1(Object, Object)                                                                                                           |      179    0%  |             49  |       18  |
|  som.Set$$Lambda.0x00000008000c94d8.test(Object)                                                                                                     |      179    0%  |              0  |       18  |
|  havlak.LoopTesterApp.buildDiamond(int)                                                                                                              |      151    0%  |              9  |       16  |
|  java.lang.Integer.equals(Object) Integer.java                                                                                                       |      129    0%  |            129  |       13  |
|  havlak.ControlFlowGraph.createNode(int)                                                                                                             |       97    0%  |             39  |       10  |
|  Run.printResult(long, int)                                                                                                                          |       90    0%  |          < 0.1  |       10  |
|  havlak.UnionFindNode.getBb()                                                                                                                        |       90    0%  |             90  |        9  |
|  java.lang.System.arraycopy(Object, int, Object, int, int) System.java (native)                                                                      |       81    0%  |             81  |        9  |
|  havlak.UnionFindNode.setLoop(SimpleLoop)                                                                                                            |       70    0%  |             70  |        7  |
|  som.Dictionary.<init>(int)                                                                                                                          |       69    0%  |             69  |        7  |
|  som.IdentityDictionary.<init>()                                                                                                                     |       69    0%  |              0  |        7  |
|  som.Dictionary.removeAll()                                                                                                                          |       69    0%  |             69  |        7  |
|  havlak.BasicBlock.getOutEdges()                                                                                                                     |       69    0%  |             69  |        7  |
|  havlak.HavlakLoopFinder$3.apply(Object)                                                                                                             |       69    0%  |             69  |        7  |
|  java.io.PrintStream.implWriteln(String) PrintStream.java                                                                                            |       68    0%  |              9  |        7  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                |       68    0%  |              0  |        7  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                |       68    0%  |              0  |        7  |
|  som.Vector.isEmpty()                                                                                                                                |       59    0%  |             59  |        6  |
|  havlak.SimpleLoop.getParent()                                                                                                                       |       49    0%  |             49  |        5  |
|  havlak.BasicBlock.addOutEdge(BasicBlock)                                                                                                            |       49    0%  |              0  |        5  |
|  java.io.BufferedOutputStream.flush() BufferedOutputStream.java                                                                                      |       39    0%  |              0  |        4  |
|  java.io.BufferedOutputStream.flushBuffer() BufferedOutputStream.java                                                                                |       39    0%  |              0  |        4  |
|  java.io.BufferedOutputStream.implFlush() BufferedOutputStream.java                                                                                  |       39    0%  |              0  |        4  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                              |       39    0%  |          < 0.1  |        4  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                    |       39    0%  |              0  |        4  |
|  java.io.PrintStream.implWrite(byte[], int, int) PrintStream.java                                                                                    |       39    0%  |              0  |        4  |
|  java.io.PrintStream.write(byte[], int, int) PrintStream.java                                                                                        |       39    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.flushBuffer() StreamEncoder.java                                                                                           |       39    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.implFlushBuffer() StreamEncoder.java                                                                                       |       39    0%  |              0  |        4  |
